COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣          ,10002010,宜蘭市          ,205,58,11,24,56,32,13,1,10,9636.86,4014.5,578.7,1137.14,2101.4,993.9,483.85,14.34,313.02,6900000,16050000,12000000,9300000,4840000,4600000,7500000,2400000,5127589,184620,225264,210276,179520,137304,164738,170684,167346,248188,76,1,40,5,30,,,,,3919.44,63.9,2277.27,232.64,1345.63,,,,,6000000,12800000,6175000,7250000,5450000,,,,,116207,200313,106859,157188,123598,,,,,"106Y2S"
10002,宜蘭縣          ,10002020,羅東鎮          ,162,9,6,21,71,39,9,6,1,6573.51,642.53,227.55,1654.05,2169.3,1123.74,533.43,175.41,47.49,4800000,17000000,5300000,5150000,4500000,3000000,6550000,9050000,7800000,166352,236211,185150,188927,159297,125536,174337,593346,164236,18,,1,6,11,,,,,874.32,,45.86,413.04,415.41,,,,,6150000,,9390000,6785000,5600000,,,,,152668,,204745,223278,146385,,,,,"106Y2S"
10002,宜蘭縣          ,10002030,蘇澳鎮          ,80,23,1,9,16,23,4,3,1,4671.95,1267.85,59.82,601.66,990.75,1571.63,107.71,50.46,22.08,5200000,7000000,6920000,5200000,3175000,4500000,2350000,700000,5000000,114282,131678,115687,111631,87955,118331,84497,41635,226424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y2S"
10002,宜蘭縣          ,10002040,頭城鎮          ,34,2,4,2,11,6,4,1,4,1300.32,109.57,197.87,65.93,505.08,191.17,121.01,10.85,98.84,4390000,11100000,8860000,4040000,5350000,3725000,5325000,3620000,4130000,131329,196015,170100,124516,98688,111025,149757,333620,219874,1,,,1,,,,,,63.46,,,63.46,,,,,,7150000,,,7150000,,,,,,112678,,,112678,,,,,,"106Y2S"
10002,宜蘭縣          ,10002050,礁溪鄉          ,157,77,17,18,23,21,,,1,5776.31,3550.57,370.5,530.75,699.04,608.76,,,16.69,7730000,9950000,5750000,4675000,3680000,2500000,,,6880000,210234,298605,337595,213039,134764,141101,,,412100,12,4,2,3,3,,,,,529.27,313.32,87.97,59.76,68.22,,,,,6460000,23320000,15250000,2800000,2500000,,,,,272024,314557,348383,213736,150454,,,,,"106Y2S"
10002,宜蘭縣          ,10002060,壯圍鄉          ,45,17,1,2,18,6,,,1,2257.56,1056.66,51.91,84.34,823.19,226.89,,,14.57,6000000,10200000,8600000,3800000,3400000,4800000,,,8000000,136256,169304,165684,91047,74142,121466,,,549134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y2S"
10002,宜蘭縣          ,10002070,員山鄉          ,39,20,2,2,10,5,,,,2042.43,1209.92,57.61,105.68,507.4,161.83,,,,8000000,9565000,9200000,6800000,3850000,3000000,,,,148160,178782,1459259,130883,106461,97970,,,,2,,,,2,,,,,73.66,,,,73.66,,,,,3475000,,,,3475000,,,,,95288,,,,95288,,,,,"106Y2S"
10002,宜蘭縣          ,10002080,冬山鄉          ,112,54,4,8,16,16,12,1,1,7334.96,3424.15,212.17,1867.37,850.68,553.35,364.73,30.2,32.32,8500000,9400000,8100000,9375000,6850000,5000000,4650000,10950000,4100000,157498,159926,147636,145689,142267,161661,156218,362600,126860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y2S"
10002,宜蘭縣          ,10002090,五結鄉          ,94,37,7,12,17,17,2,1,1,4716.86,2132.41,533.63,640.07,673.65,621.6,62.04,28.22,25.24,7330000,7400000,12000000,7950000,4100000,5455000,4650000,3230000,18860000,146272,145274,174520,123489,117654,164588,149164,114445,747298,13,3,,8,2,,,,,573.9,150.02,,354.91,68.97,,,,,3400000,8900000,,2800000,3975000,,,,,72561,168613,,61313,115243,,,,,"106Y2S"
