COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,279,14696.94,8050000,166212,51,2917.97,9500000,177358,105Y2S
10002,宜蘭縣,10002020,羅東鎮,172,8034.73,5640000,163023,23,1008.9,5500000,144489,105Y2S
10002,宜蘭縣,10002030,蘇澳鎮,63,3194.66,5300000,98177,,,,,105Y2S
10002,宜蘭縣,10002040,頭城鎮,27,1249.88,5200000,119762,1,30.27,4180000,138085,105Y2S
10002,宜蘭縣,10002050,礁溪鄉,161,6848.53,8000000,200101,7,285.78,7400000,211376,105Y2S
10002,宜蘭縣,10002060,壯圍鄉,58,3600.85,8525000,142237,,,,,105Y2S
10002,宜蘭縣,10002070,員山鄉,83,5493.08,7480000,103977,1,35.53,3900000,109761,105Y2S
10002,宜蘭縣,10002080,冬山鄉,94,4701.71,6790000,149367,2,82.49,2810000,68679,105Y2S
10002,宜蘭縣,10002090,五結鄉,101,5344.04,7800000,161608,14,623.3,6490000,151347,105Y2S
10002,宜蘭縣,10002100,三星鄉,39,2309.53,7700000,147194,,,,,105Y2S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,105Y2S
10002,宜蘭縣,10002120,南澳鄉,1,45.06,2600000,57704,,,,,105Y2S
10004,新竹縣,10004010,竹北市,451,25380.2,10500000,219587,449,25574.68,9750000,189171,105Y2S
10004,新竹縣,10004020,竹東鎮,186,8891.8,5725000,141744,139,6765,6630000,137369,105Y2S
10004,新竹縣,10004030,新埔鎮,35,2179.26,10200000,150611,13,498.77,5150000,142169,105Y2S
10004,新竹縣,10004040,關西鎮,14,833.79,5400000,132835,1,48.25,3000000,62174,105Y2S
10004,新竹縣,10004050,湖口鄉,268,12921.38,5425000,154268,23,807.06,4700000,155995,105Y2S
10004,新竹縣,10004060,新豐鄉,160,7559.85,6450000,146440,20,794.99,5200000,130117,105Y2S
