COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,207,9538.74,6200000,177608,33,1619.21,6000000,125667,106Y1S
10002,宜蘭縣,10002020,羅東鎮,100,3843.1,5150000,170369,32,1497.09,5625000,149077,106Y1S
10002,宜蘭縣,10002030,蘇澳鎮,57,2625.61,3600000,98736,,,,,106Y1S
10002,宜蘭縣,10002040,頭城鎮,33,1663.57,3900000,166566,2,60.04,5350000,194389,106Y1S
10002,宜蘭縣,10002050,礁溪鄉,117,3826.32,5566667,221948,3,181.7,10280000,269482,106Y1S
10002,宜蘭縣,10002060,壯圍鄉,57,3119,7300000,148445,,,,,106Y1S
10002,宜蘭縣,10002070,員山鄉,39,2073.63,8000000,129087,1,37.35,4300000,115138,106Y1S
10002,宜蘭縣,10002080,冬山鄉,145,8504.86,10850000,198117,2,108.13,5110000,97176,106Y1S
10002,宜蘭縣,10002090,五結鄉,89,5461.8,7700000,148798,6,287.54,8050000,171207,106Y1S
10002,宜蘭縣,10002100,三星鄉,29,1776.85,8900000,148916,,,,,106Y1S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,106Y1S
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,106Y1S
10004,新竹縣,10004010,竹北市,393,21116.3,11000000,235205,241,13586.68,9700000,189966,106Y1S
10004,新竹縣,10004020,竹東鎮,134,5840.56,4975000,134689,85,4452.52,6750000,134617,106Y1S
10004,新竹縣,10004030,新埔鎮,18,2513.64,10650000,125188,,,,,106Y1S
10004,新竹縣,10004040,關西鎮,10,585.74,3725000,73015,2,107.26,4075000,76535,106Y1S
10004,新竹縣,10004050,湖口鄉,211,15623.41,4750000,149582,41,1365.39,5200000,164345,106Y1S
10004,新竹縣,10004060,新豐鄉,103,4797.91,7000000,152348,28,749,5050000,202403,106Y1S
10004,新竹縣,10004070,芎林鄉,20,1076.52,10045000,163838,3,159.53,3800000,87424,106Y1S
10004,新竹縣,10004080,橫山鄉,4,155.73,3135000,81981,,,,,106Y1S
10004,新竹縣,10004090,北埔鄉,5,1071.06,4500000,83273,,,,,106Y1S
10004,新竹縣,10004100,寶山鄉,141,5243.42,6300000,171650,2,76.74,4575000,117886,106Y1S
10004,新竹縣,10004110,峨眉鄉,3,160.49,7500000,208927,,,,,106Y1S
10004,新竹縣,10004120,尖石鄉,,,,,,,,,106Y1S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,106Y1S
10005,苗栗縣,10005010,苗栗市,116,4782.14,3800000,107902,34,1616.81,6590000,133123,106Y1S
10005,苗栗縣,10005020,苑裡鎮,57,3009.82,7500000,140876,,,,,106Y1S
10005,苗栗縣,10005030,通霄鎮,17,639.45,2500000,80243,1,33.27,2500000,75152,106Y1S
10005,苗栗縣,10005040,竹南鎮,178,12062.56,6290000,151687,38,1473.39,5425000,153189,106Y1S
10005,苗栗縣,10005050,頭份市,180,7817.94,3527500,107628,55,2467.11,7760000,164011,106Y1S
10005,苗栗縣,10005060,後龍鎮,16,808.85,5240000,110157,2,90.49,5075000,112167,106Y1S
10005,苗栗縣,10005070,卓蘭鎮,4,131.68,4550000,126291,,,,,106Y1S
10005,苗栗縣,10005080,大湖鄉,4,246.49,4650000,76939,,,,,106Y1S
10005,苗栗縣,10005090,公館鄉,28,1676.82,8515000,127249,,,,,106Y1S
10005,苗栗縣,10005100,銅鑼鄉,19,1219.69,3550000,95174,,,,,106Y1S
10005,苗栗縣,10005110,南庄鄉,1,24.46,3100000,126721,,,,,106Y1S
10005,苗栗縣,10005120,頭屋鄉,3,145.91,3500000,86681,1,34.66,4880000,140794,106Y1S
10005,苗栗縣,10005130,三義鄉,12,619.86,7940000,142636,,,,,106Y1S
10005,苗栗縣,10005140,西湖鄉,3,145.72,4600000,110385,,,,,106Y1S
10005,苗栗縣,10005150,造橋鄉,11,241.03,430000,52687,,,,,106Y1S
10005,苗栗縣,10005160,三灣鄉,1,200.06,7500000,37489,,,,,106Y1S
10005,苗栗縣,10005170,獅潭鄉,3,77.37,2500000,94885,,,,,106Y1S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,106Y1S
10007,彰化縣,10007010,彰化市,263,13234.6,6200000,151567,51,2348.24,4700000,113999,106Y1S
10007,彰化縣,10007020,鹿港鎮,59,3215.09,7100000,131371,5,220.67,3720000,76826,106Y1S
10007,彰化縣,10007030,和美鎮,93,5940.14,8000000,152134,2,79.22,4150000,104755,106Y1S
10007,彰化縣,10007040,線西鄉,12,746.82,7080000,106678,,,,,106Y1S
10007,彰化縣,10007050,伸港鄉,36,2500.51,6000000,103872,1,39.6,2600000,65656,106Y1S
10007,彰化縣,10007060,福興鄉,18,768.06,4650000,100542,1,35.73,3200000,89573,106Y1S
10007,彰化縣,10007070,秀水鄉,23,1210.26,6500000,142471,,,,,106Y1S
10007,彰化縣,10007080,花壇鄉,28,1299.55,6920000,131486,,,,,106Y1S
10007,彰化縣,10007090,芬園鄉,5,228.47,3680000,78430,,,,,106Y1S
10007,彰化縣,10007100,員林市,169,8462.87,6180000,166651,17,739.13,4550000,117589,106Y1S
10007,彰化縣,10007110,溪湖鎮,30,1675.79,7660000,130213,1,68.73,9000000,130945,106Y1S
10007,彰化縣,10007120,田中鎮,33,1864,5840000,119944,1,30.12,2600000,86322,106Y1S
10007,彰化縣,10007130,大村鄉,52,2789.28,6400000,128659,2,72.93,3250000,89131,106Y1S
10007,彰化縣,10007140,埔鹽鄉,7,327.26,3000000,67883,,,,,106Y1S
10007,彰化縣,10007150,埔心鄉,36,2032.73,7000000,131076,,,,,106Y1S
10007,彰化縣,10007160,永靖鄉,13,643.42,4200000,110119,,,,,106Y1S
10007,彰化縣,10007170,社頭鄉,39,2165.82,6650000,132570,13,600.3,5300000,117706,106Y1S
10007,彰化縣,10007180,二水鄉,3,154.25,1700000,93805,,,,,106Y1S
10007,彰化縣,10007190,北斗鎮,32,2411.5,7195000,131698,1,33.95,2900000,85413,106Y1S
10007,彰化縣,10007200,二林鎮,63,3057.59,6100000,108077,4,151.66,2925000,74907,106Y1S
10007,彰化縣,10007210,田尾鄉,22,1045.88,6280000,122541,1,213.22,15000000,70350,106Y1S
10007,彰化縣,10007220,埤頭鄉,27,2589.12,6160000,102498,,,,,106Y1S
