COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,174,7106.94,4725000,159753,18,757.58,5110000,120283,105Y1S
10002,宜蘭縣,10002020,羅東鎮,104,4357.44,4344000,152010,9,315.92,4800000,154142,105Y1S
10002,宜蘭縣,10002030,蘇澳鎮,33,1525.07,4380000,99692,,,,,105Y1S
10002,宜蘭縣,10002040,頭城鎮,22,725.89,5350000,138311,,,,,105Y1S
10002,宜蘭縣,10002050,礁溪鄉,84,3050.68,5550000,243494,2,42.88,4460000,270222,105Y1S
10002,宜蘭縣,10002060,壯圍鄉,37,2031.82,7450000,136203,,,,,105Y1S
10002,宜蘭縣,10002070,員山鄉,25,1488.36,10000000,150156,2,73.14,4065000,111341,105Y1S
10002,宜蘭縣,10002080,冬山鄉,76,4118.99,7500000,140946,1,38.95,5800000,148909,105Y1S
10002,宜蘭縣,10002090,五結鄉,73,3528.37,7450000,150326,12,611.06,5590000,104205,105Y1S
10002,宜蘭縣,10002100,三星鄉,41,2457.93,7700000,140009,,,,,105Y1S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,105Y1S
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,105Y1S
10004,新竹縣,10004010,竹北市,325,19749.04,10500000,212150,277,18747,10060000,194731,105Y1S
10004,新竹縣,10004020,竹東鎮,133,6658.08,4533333,142219,69,3146.31,6320000,134418,105Y1S
10004,新竹縣,10004030,新埔鎮,16,981.97,6025000,111316,1,31.92,15800000,495037,105Y1S
10004,新竹縣,10004040,關西鎮,9,416.6,2900000,91060,2,235.93,2725000,44265,105Y1S
10004,新竹縣,10004050,湖口鄉,232,12468.16,4745000,155191,18,584.73,4675000,146741,105Y1S
10004,新竹縣,10004060,新豐鄉,181,9801.73,8130000,136050,12,387.25,3780000,150735,105Y1S
10004,新竹縣,10004070,芎林鄉,10,489.38,6000000,147326,3,121.11,3300000,82737,105Y1S
10004,新竹縣,10004080,橫山鄉,2,120.17,6925000,110443,8,394.06,5575000,113730,105Y1S
10004,新竹縣,10004090,北埔鄉,1,46.92,4000000,85256,,,,,105Y1S
10004,新竹縣,10004100,寶山鄉,10,607.37,8900000,155550,6,230.56,3370000,88815,105Y1S
10004,新竹縣,10004110,峨眉鄉,,,,,,,,,105Y1S
10004,新竹縣,10004120,尖石鄉,,,,,,,,,105Y1S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,105Y1S
10005,苗栗縣,10005010,苗栗市,104,6623.09,3390000,103100,15,647.07,4770000,99568,105Y1S
10005,苗栗縣,10005020,苑裡鎮,20,1017.54,4894500,107594,,,,,105Y1S
10005,苗栗縣,10005030,通霄鎮,5,230.13,2800000,74198,,,,,105Y1S
10005,苗栗縣,10005040,竹南鎮,100,5997.15,8000000,152807,51,2147.25,5660000,140972,105Y1S
10005,苗栗縣,10005050,頭份市,124,5464.99,4500000,139337,30,1284.1,5655000,144692,105Y1S
10005,苗栗縣,10005060,後龍鎮,13,648.12,3800000,79877,,,,,105Y1S
10005,苗栗縣,10005070,卓蘭鎮,13,716.36,6410000,106483,,,,,105Y1S
10005,苗栗縣,10005080,大湖鄉,4,166.7,5245000,128816,1,75.97,4600000,60553,105Y1S
10005,苗栗縣,10005090,公館鄉,20,1133.82,5115000,90560,1,36.98,2000000,54078,105Y1S
10005,苗栗縣,10005100,銅鑼鄉,13,2143.76,5300000,87202,,,,,105Y1S
10005,苗栗縣,10005110,南庄鄉,,,,,,,,,105Y1S
10005,苗栗縣,10005120,頭屋鄉,7,299.37,4100000,81910,,,,,105Y1S
10005,苗栗縣,10005130,三義鄉,7,275.4,6300000,140283,,,,,105Y1S
10005,苗栗縣,10005140,西湖鄉,2,97.68,3490000,71440,,,,,105Y1S
10005,苗栗縣,10005150,造橋鄉,17,368.36,430000,52599,1,51.88,2420000,46642,105Y1S
10005,苗栗縣,10005160,三灣鄉,2,104.84,1802500,39018,,,,,105Y1S
10005,苗栗縣,10005170,獅潭鄉,1,16.76,2500000,149124,,,,,105Y1S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,105Y1S
10007,彰化縣,10007010,彰化市,183,8469.18,5880000,155793,36,1596.5,4955726,116811,105Y1S
10007,彰化縣,10007020,鹿港鎮,76,4096.84,7250000,148404,5,254.02,3600000,74914,105Y1S
10007,彰化縣,10007030,和美鎮,62,3109.08,6465000,131470,5,226.34,4100000,110751,105Y1S
10007,彰化縣,10007040,線西鄉,20,1044.56,5380000,92252,,,,,105Y1S
10007,彰化縣,10007050,伸港鄉,26,1339.54,6399000,126472,,,,,105Y1S
10007,彰化縣,10007060,福興鄉,15,758.8,4400000,88180,,,,,105Y1S
10007,彰化縣,10007070,秀水鄉,15,678.17,5400000,131394,,,,,105Y1S
10007,彰化縣,10007080,花壇鄉,32,1614.3,5600000,125346,3,144.43,8000000,167756,105Y1S
10007,彰化縣,10007090,芬園鄉,9,390.58,4100000,105586,,,,,105Y1S
10007,彰化縣,10007100,員林市,139,6977.88,6966667,168104,11,783.07,10000000,142806,105Y1S
10007,彰化縣,10007110,溪湖鎮,32,1632.08,7875000,152727,3,187.18,9000000,130945,105Y1S
10007,彰化縣,10007120,田中鎮,21,1080.25,6250000,116994,,,,,105Y1S
10007,彰化縣,10007130,大村鄉,31,1532.82,5300000,117351,1,51.51,7000000,135897,105Y1S
10007,彰化縣,10007140,埔鹽鄉,9,363.6,2600000,83027,,,,,105Y1S
10007,彰化縣,10007150,埔心鄉,37,2485.68,8800000,162274,1,47.61,3000000,63015,105Y1S
10007,彰化縣,10007160,永靖鄉,15,1128,8300000,136691,,,,,105Y1S
10007,彰化縣,10007170,社頭鄉,18,897.7,5800000,138925,,,,,105Y1S
10007,彰化縣,10007180,二水鄉,3,208.93,4000000,57984,,,,,105Y1S
10007,彰化縣,10007190,北斗鎮,51,2701.04,6300000,124569,,,,,105Y1S
10007,彰化縣,10007200,二林鎮,41,1992.08,3260000,79497,,,,,105Y1S
10007,彰化縣,10007210,田尾鄉,13,1355.15,4100000,94573,,,,,105Y1S
10007,彰化縣,10007220,埤頭鄉,13,725.4,4800000,85610,,,,,105Y1S
10007,彰化縣,10007230,芳苑鄉,4,229.05,2775000,46581,,,,,105Y1S
10007,彰化縣,10007240,大城鄉,1,108.81,420000,3860,,,,,105Y1S
10007,彰化縣,10007250,竹塘鄉,2,97.84,2750000,55552,,,,,105Y1S
10007,彰化縣,10007260,溪州鄉,21,1074.53,4800000,95327,,,,,105Y1S
10008,南投縣,10008010,南投市,95,5424.06,5500000,134742,2,79.94,2750000,68107,105Y1S
10008,南投縣,10008020,埔里鎮,82,3747.86,4175000,118586,1,38.54,2900000,75255,105Y1S
10008,南投縣,10008030,草屯鎮,96,4818.79,6500000,130732,4,162.6,3500000,93186,105Y1S
10008,南投縣,10008040,竹山鎮,44,1816.66,2530000,71889,,,,,105Y1S
10008,南投縣,10008050,集集鎮,7,300.85,3280000,75153,,,,,105Y1S
10008,南投縣,10008060,名間鄉,18,900.7,3500000,83357,,,,,105Y1S
10008,南投縣,10008070,鹿谷鄉,5,254.27,5400000,105019,,,,,105Y1S
10008,南投縣,10008080,中寮鄉,3,93.06,2000000,63232,,,,,105Y1S
10008,南投縣,10008090,魚池鄉,11,498.55,6666667,123121,,,,,105Y1S
10008,南投縣,10008100,國姓鄉,4,267.06,4900000,111149,,,,,105Y1S
10008,南投縣,10008110,水里鄉,7,218.73,1500000,49899,,,,,105Y1S
10008,南投縣,10008120,信義鄉,1,24.01,1500000,62483,,,,,105Y1S
10008,南投縣,10008130,仁愛鄉,4,448.11,1140000,22945,,,,,105Y1S
10009,雲林縣,10009010,斗六市,158,8082.09,4180000,101226,16,675.63,2700000,79512,105Y1S
10009,雲林縣,10009020,斗南鎮,30,1602.42,5450000,107094,4,173.72,2470000,67041,105Y1S
10009,雲林縣,10009030,虎尾鎮,112,7802.38,6780000,115511,3,132.64,3570000,82404,105Y1S
10009,雲林縣,10009040,西螺鎮,56,6791.61,6725000,119792,,,,,105Y1S
10009,雲林縣,10009050,土庫鎮,22,1277.15,5530000,99209,,,,,105Y1S
10009,雲林縣,10009060,北港鎮,58,1751.34,370968,49286,1,54.93,3400000,61899,105Y1S
10009,雲林縣,10009070,古坑鄉,10,468.62,2810000,66405,1,55.34,5200000,93961,105Y1S
10009,雲林縣,10009080,大埤鄉,16,760.35,2400000,61020,,,,,105Y1S
10009,雲林縣,10009090,莿桐鄉,27,1550.65,3000000,56976,,,,,105Y1S
10009,雲林縣,10009100,林內鄉,7,318.48,2330000,48322,,,,,105Y1S
10009,雲林縣,10009110,二崙鄉,3,159.73,3500000,70127,,,,,105Y1S
10009,雲林縣,10009120,崙背鄉,8,416.26,3185000,61837,,,,,105Y1S
10009,雲林縣,10009130,麥寮鄉,23,1462.68,6850000,112638,2,81.93,2875000,67761,105Y1S
10009,雲林縣,10009140,東勢鄉,7,200.92,1000000,50594,,,,,105Y1S
10009,雲林縣,10009150,褒忠鄉,,,,,,,,,105Y1S
10009,雲林縣,10009160,臺西鄉,1,33.98,2600000,76509,,,,,105Y1S
10009,雲林縣,10009170,元長鄉,6,327.91,2725000,49060,,,,,105Y1S
10009,雲林縣,10009180,四湖鄉,10,614.4,3765000,61350,,,,,105Y1S
10009,雲林縣,10009190,口湖鄉,1,203.34,30000000,147538,,,,,105Y1S
10009,雲林縣,10009200,水林鄉,3,226.03,140800,1671,,,,,105Y1S
10010,嘉義縣,10010010,太保市,69,4449.02,4380000,85314,52,2842.71,2550000,48413,105Y1S
10010,嘉義縣,10010020,朴子市,45,1787.01,4000000,96365,,,,,105Y1S
10010,嘉義縣,10010030,布袋鎮,13,526.51,1880000,44025,,,,,105Y1S
10010,嘉義縣,10010040,大林鎮,44,5977.12,3750000,76391,1,67.37,9514700,141231,105Y1S
