COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積合計,不含車位面積未滿5年,不含車位面積5-未滿10年,不含車位面積10-未滿20年,不含車位面積20-未滿30年,不含車位面積30-未滿40年,不含車位面積40-未滿50年,不含車位面積50年以上,不含車位面積不詳,不含車位中位數房價合計,不含車位中位數房價未滿5年,不含車位中位數房價5-未滿10年,不含車位中位數房價10-未滿20年,不含車位中位數房價20-未滿30年,不含車位中位數房價30-未滿40年,不含車位中位數房價40-未滿50年,不含車位中位數房價50年以上,不含車位中位數房價不詳,不含車位交易單價中位數合計,不含車位交易單價中位數未滿5年,不含車位交易單價中位數5-未滿10年,不含車位交易單價中位數10-未滿20年,不含車位交易單價中位數20-未滿30年,不含車位交易單價中位數30-未滿40年,不含車位交易單價中位數40-未滿50年,不含車位交易單價中位數50年以上,不含車位交易單價中位數不詳,含車位面積合計,含車位面積未滿5年,含車位面積5-未滿10年,含車位面積10-未滿20年,含車位面積20-未滿30年,含車位面積30-未滿40年,含車位面積40-未滿50年,含車位面積50年以上,含車位面積不詳,含車位中位數房價合計,含車位中位數房價未滿5年,含車位中位數房價5-未滿10年,含車位中位數房價10-未滿20年,含車位中位數房價20-未滿30年,含車位中位數房價30-未滿40年,含車位中位數房價40-未滿50年,含車位中位數房價50年以上,含車位中位數房價不詳,含車位交易單價中位數合計,含車位交易單價中位數未滿5年,含車位交易單價中位數5-未滿10年,含車位交易單價中位數10-未滿20年,含車位交易單價中位數20-未滿30年,含車位交易單價中位數30-未滿40年,含車位交易單價中位數40-未滿50年,含車位交易單價中位數50年以上,含車位交易單價中位數不詳,資料時間
10002,宜蘭縣,10002030,蘇澳鎮,3108.88,1985.39,54.64,0,460.28,277.32,244.29,31.56,55.41,6790000,7100000,7900000,0,4050000,2240000,3800000,270000,3300000,127118.23,130886.36,144589.21,0,91915.68,65752.5,171099.51,54641.08,119399.4,33.85,0,0,0,33.85,0,0,0,0,2300000,0,0,0,2300000,0,0,0,0,67953.4,0,0,0,67953.4,0,0,0,0,"107Y3S"
10015,花蓮縣,10015030,玉里鎮,851.86,320.28,69.69,0,143.45,232.55,77.7,8.18,0,3800000,8800000,9100000,0,4150000,2925000,3400000,300000,0,98713.64,109766.8,130572.7,0,101295.7,101403.02,87553.51,36663.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015100,富里鄉,115.15,0,0,0,35.48,62.99,0,0,16.68,2115000,0,0,0,2500000,1890000,0,0,2250000,65937.66,0,0,0,70461.79,59978.77,0,0,134893.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015090,瑞穗鄉,580.28,192.9,0,0,162.28,225.1,0,0,0,2400000,20800000,0,0,4800000,1500000,0,0,0,55240.62,107830.59,0,0,97852.54,48614.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015050,吉安鄉,7987.19,2832.79,702.05,1692.7,1009.66,1012.11,642.34,0,95.53,7900000,11800000,14800000,8000000,5600000,6000000,5490000,0,5150000,176231.72,192068.39,201922.27,145898.83,138908.26,187589.95,193715.47,0,224029.17,106.27,72.62,0,0,33.65,0,0,0,0,7900000,8050000,0,0,5100000,0,0,0,0,217558.33,221689.19,0,0,151559.73,0,0,0,0,"107Y3S"
10015,花蓮縣,10015010,花蓮市,15739.48,4478.1,458.18,1681.94,4735.92,2920.99,1101.02,130.23,233.1,5330000,9700000,15000000,9730000,3400000,6700000,5980000,13000000,6300000,162460.25,215455.81,174777.29,169148.28,138317.37,166706.26,209872.61,393329.73,218214.39,39.06,0,0,0,39.06,0,0,0,0,5200000,0,0,0,5200000,0,0,0,0,133122.3,0,0,0,133122.3,0,0,0,0,"107Y3S"
10015,花蓮縣,10015040,新城鄉,2180.44,655.73,87.14,249.24,695.64,442.65,50.04,0,0,5000000,17900000,19500000,7500000,4940000,3800000,4100000,0,0,124400.71,153279.,223774.81,131254.79,110156.94,120807.24,182783.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015060,壽豐鄉,817.24,389.05,46.48,146.08,55.34,112.59,0,20.23,47.48,3847500,13250000,25350000,525000,3550000,4000000,0,8430000,4650000,86709.04,160657.14,545370.64,49077.14,64153.16,111448.85,0,416807.79,144712.69,447.2,0,0,447.2,0,0,0,0,0,3350000,0,0,3350000,0,0,0,0,0,72559.06,0,0,72559.06,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015070,光復鄉,374.24,0,0,59.62,178.97,135.65,0,0,0,914400,0,0,4900000,5000000,500000,0,0,0,27678.87,0,0,82183.39,78182.94,20938.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015120,萬榮鄉,37.42,0,0,0,37.42,0,0,0,0,2950000,0,0,0,2950000,0,0,0,0,78842.8,0,0,0,78842.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015020,鳳林鎮,233.03,58.16,0,0,42.14,107.58,16.52,0,8.63,2310000,7150000,0,0,3500000,1600000,2820000,0,2620000,75772.61,122926.79,0,0,83059.93,59647.18,170738.35,0,303687.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10015,花蓮縣,10015080,豐濱鄉,20.18,0,0,0,0,0,0,0,20.18,780000,0,0,0,0,0,0,0,780000,38658.36,0,0,0,0,0,0,0,38658.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
09020,金門縣,09020020,金沙鎮,318.9,318.9,0,0,0,0,0,0,0,3755000,3755000,0,0,0,0,0,0,0,149407.77,149407.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
09020,金門縣,09020010,金城鎮,1067.04,571.6,29.76,57.4,131.61,0,32.53,7.09,237.06,6675000,6050000,8000000,9800000,5950000,0,12000000,2000000,8550000,200617.93,200617.93,268844.98,170733.57,241453.12,0,368914.92,281943.29,177458.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
09020,金門縣,09020030,金湖鎮,1377.67,1054.52,156.6,90.38,0,76.18,0,0,0,7500000,7200000,11350000,8700000,0,22000000,0,0,0,192715.53,189146.73,196772.92,177658.04,0,288806.58,0,0,0,4686.57,4686.57,0,0,0,0,0,0,0,6225000,6225000,0,0,0,0,0,0,0,115727.41,115727.41,0,0,0,0,0,0,0,"107Y3S"
09020,金門縣,09020040,金寧鄉,722.39,593.84,128.56,0,0,0,0,0,0,5000000,4800000,12000000,0,0,0,0,0,0,173314.76,174919.01,93344.21,0,0,0,0,0,0,1473.42,1473.42,0,0,0,0,0,0,0,11000000,11000000,0,0,0,0,0,0,0,145342.12,145342.12,0,0,0,0,0,0,0,"107Y3S"
09020,金門縣,09020050,烈嶼鄉,32.71,32.71,0,0,0,0,0,0,0,8000000,8000000,0,0,0,0,0,0,0,244601.19,244601.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008110,水里鄉,600.88,0,0,59.45,55.57,472.47,0,13.4,0,1290000,0,0,6500000,5500000,1245000,0,990000,0,31245.61,0,0,109334.98,98980.99,29856.91,0,73893.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008050,集集鎮,482.42,57.67,153.12,57.71,62.72,151.2,0,0,0,3330000,8200000,10500000,8000000,3250000,1850000,0,0,0,109594.57,142191.76,137147.83,138621.87,121080.94,48074.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008040,竹山鎮,3103.89,780.93,0,695.,613.78,929.34,84.84,0,0,3650000,12000000,0,3100555,3900000,2550000,2000000,0,0,78871.69,142912.62,0,67829.86,73215.15,75294.53,80251.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008070,鹿谷鄉,611.51,70.2,22.94,295.56,222.8,0,0,0,0,11000000,13300000,8300000,17250000,11000000,0,0,0,0,207436.6,189463.68,361788.19,199505.77,225482.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008080,中寮鄉,147.37,0,0,106.87,40.5,0,0,0,0,2950000,0,0,4640000,2950000,0,0,0,0,72836.4,0,0,86094.2,72836.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
10008,南投縣,10008060,名間鄉,864.21,339.77,75.76,46.88,104.22,297.58,0,0,0,4225000,2500000,5125000,6000000,4430000,3960000,0,0,0,94610.27,7357.96,116257.15,127998.91,85024.3,112983.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y3S"
