COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣          ,10002010,宜蘭市          ,223,85,12,20,49,35,11,1,10,10864.03,5453.06,568.47,737.74,1835.42,1604.31,336.35,19.39,309.3,7700000,13000000,10625000,4540000,4400000,5800000,5600000,6860000,9675000,186320,217894,201119,152731,133998,159882,183995,353786,264001,51,3,27,6,15,,,,,2724.67,206.04,1530.69,274.48,713.45,,,,,6200000,15000000,6200000,6900000,5000000,,,,,113951,226792,110304,151165,122670,,,,,"106Y3S"
10002,宜蘭縣          ,10002020,羅東鎮          ,129,7,1,8,63,29,19,1,1,4671.25,472.18,67.02,389.64,1955.07,980.54,687.55,91.15,28.11,4650000,13100000,8300000,6075000,4500000,4000000,8100000,26800000,5800000,166170,202742,123851,175160,154274,122908,323495,294033,206345,13,,,5,8,,,,,561.49,,,205.11,356.38,,,,,5800000,,,5800000,5775000,,,,,158067,,,175840,145261,,,,,"106Y3S"
10002,宜蘭縣          ,10002030,蘇澳鎮          ,62,23,,1,8,20,6,3,1,2633.7,1136.68,,37.21,365.7,742.56,274.55,65.5,11.49,3050000,7250000,,2100000,3100000,2400000,2300000,5800000,1800000,89520,138677,,56436,79014,63225,76023,171345,156590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y3S"
10002,宜蘭縣          ,10002040,頭城鎮          ,25,6,,4,8,3,2,1,1,1192.32,395.63,,219.91,334.47,129.04,59.4,15.16,38.72,5300000,18750000,,7615000,4665000,3250000,4940000,2300000,8000000,143817,211347,,125178,119145,83208,166454,151763,206612,2,,,2,,,,,,96.11,,,96.11,,,,,,4500000,,,4500000,,,,,,97384,,,97384,,,,,,"106Y3S"
10002,宜蘭縣          ,10002050,礁溪鄉          ,112,32,6,15,27,30,1,,1,3378.1,1395.85,180.54,340.34,691.68,725.85,26.43,,17.4,5500000,9600000,9700000,3900000,3500000,3050000,6600000,,15828313,189524,292528,384707,195952,146634,154013,249693,,909684,6,2,1,3,,,,,,185.4,53.52,50.12,81.76,,,,,,6550000,8740000,14300000,2600000,,,,,,255513,328159,285343,92807,,,,,,"106Y3S"
10002,宜蘭縣          ,10002060,壯圍鄉          ,53,31,5,2,9,5,1,,,2822.14,1785.23,262.06,179.16,427.64,157.47,10.58,,,7800000,8366915,9500000,26150000,4500000,2900000,2380000,,,153211,154226,198174,247685,100132,92308,224922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y3S"
10002,宜蘭縣          ,10002070,員山鄉          ,32,11,1,2,12,6,,,,1825.42,861.55,18.66,124.79,617.99,202.44,,,,7750000,15200000,21000000,6150000,6390000,3650000,,,,126101,199806,1125328,96833,113084,118032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y3S"
10002,宜蘭縣          ,10002080,冬山鄉          ,111,54,5,10,13,22,7,,,5946.11,3205.77,205.96,499.89,855.65,869.95,308.88,,,7200000,8000000,9700000,6750000,6450000,5000000,7280000,,,154765,159206,193475,129918,98588,144128,142647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y3S"
10002,宜蘭縣          ,10002090,五結鄉          ,122,74,3,9,21,12,1,,2,6519.7,3881.62,927.6,392.63,801.45,410.22,28.59,,77.59,7900000,8225000,33500000,7000000,3800000,4650000,9980000,,5622394,152286,168593,87660,122648,111020,145695,349119,,136288,18,2,,14,2,,,,,861.75,112.55,,672.25,76.95,,,,,3825000,11500000,,3300000,4525000,,,,,81535,204288,,65843,117470,,,,,"106Y3S"
