COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,207,65,10,22,55,39,9,,7,9538.74,4679.44,460.21,810.1,1837.47,1342.36,247.49,,161.68,6200000,14300000,4425000,5410000,4250000,4650000,4800000,,5800000,177608,200482,196731,196452,128567,141977,198980,,172591,33,,3,9,21,,,,,1619.21,,134.33,396.32,1088.55,,,,,6000000,,6700000,7150000,5600000,,,,,125667,,168573,147866,112478,,,,,"106Y1S"
10002,宜蘭縣,10002020,羅東鎮,100,10,4,15,26,24,15,4,2,3843.1,671.91,249.41,685.67,780.73,886.46,414.06,120.52,34.35,5150000,14500000,17400000,5800000,4325000,3000000,5000000,12800000,3300000,170369,181503,227882,161016,149498,137215,262971,448133,176620,32,7,1,8,16,,,,,1497.09,281.87,49.25,367.21,798.76,,,,,5625000,6300000,9050000,5600000,5450000,,,,,149077,150306,183745,148078,146396,,,,,"106Y1S"
10002,宜蘭縣,10002030,蘇澳鎮,57,21,1,3,12,12,5,3,,2625.61,1259.36,57.82,124.39,573.19,425.39,138.5,46.96,,3600000,6680000,6500000,2850000,3620000,2485000,1800000,600000,,98736,132588,112424,71992,79294,77552,69632,73555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y1S"
10002,宜蘭縣,10002040,頭城鎮,33,6,,5,7,9,2,1,3,1663.57,225.11,,159.67,133.71,819.9,74.38,4.64,246.16,3900000,6500000,,3900000,1125000,3400000,5500000,1800000,16380000,166566,213699,,129689,166566,84382,142235,387902,160553,2,1,,1,,,,,,60.04,24.16,,35.87,,,,,,5350000,6700000,,4000000,,,,,,194389,277275,,111503,,,,,,"106Y1S"
10002,宜蘭縣,10002050,礁溪鄉,117,55,12,12,19,17,,1,1,3826.32,2365.04,315.01,391.16,401.35,351.31,,2.24,0.21,5566667,10980000,5600000,4350000,3800000,3300000,,1650000,200000,221948,277885,297616,179939,201768,202537,,738098,972290,3,3,,,,,,,,181.7,181.7,,,,,,,,10280000,10280000,,,,,,,,269482,269482,,,,,,,,"106Y1S"
10002,宜蘭縣,10002060,壯圍鄉,57,38,1,1,8,8,,,1,3119,2376.26,55.59,22.55,356.97,269.06,,,38.56,7300000,8400000,8900000,2000000,3750000,3200000,,,2000000,148445,156187,160091,88710,80414,84213,,,51868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y1S"
10002,宜蘭縣,10002070,員山鄉,39,21,,3,7,7,1,,,2073.63,1304.36,,181.11,270.17,308.26,9.74,,,8000000,8700000,,9500000,3680000,3500000,4100000,,,129087,130021,,219677,118389,128590,421054,,,1,,,,1,,,,,37.35,,,,37.35,,,,,4300000,,,,4300000,,,,,115138,,,,115138,,,,,"106Y1S"
10002,宜蘭縣,10002080,冬山鄉,145,87,9,9,13,20,6,,1,8504.86,5993.2,462.08,368.41,645.46,767.43,223.8,,44.47,10850000,13880000,8350000,5000000,7220000,4700000,5345000,,5050000,198117,202678,172091,154412,154899,126555,200935,,113566,2,,,,2,,,,,108.13,,,,108.13,,,,,5110000,,,,5110000,,,,,97176,,,,97176,,,,,"106Y1S"
10002,宜蘭縣,10002090,五結鄉,89,45,4,7,16,11,5,,1,5461.8,2891.73,224.84,1126.76,638.75,382.44,160.25,,37.04,7700000,10000000,16500000,9000000,4290000,5000000,5200000,,7600000,148798,174035,295255,134146,107819,124350,149730,,205194,6,3,,2,1,,,,,287.54,158.89,,89.7,38.95,,,,,8050000,11000000,,2810000,5400000,,,,,171207,208967,,62651,138640,,,,,"106Y1S"
