COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,274,13723.49,8800000,174399,44,2126.12,6000000,131415,105Y4S
10002,宜蘭縣,10002020,羅東鎮,156,5939.86,5000000,159448,25,1497.6,5800000,148887,105Y4S
10002,宜蘭縣,10002030,蘇澳鎮,73,4783.68,6951648,118054,,,,,105Y4S
10002,宜蘭縣,10002040,頭城鎮,25,942.53,4700000,132221,16,586.38,7500000,212840,105Y4S
10002,宜蘭縣,10002050,礁溪鄉,269,9168.18,7500000,269090,29,1555.52,10650000,232720,105Y4S
10002,宜蘭縣,10002060,壯圍鄉,81,4436.73,9390000,158439,,,,,105Y4S
10002,宜蘭縣,10002070,員山鄉,34,2136.21,7530000,147058,23,1885.59,12150000,142684,105Y4S
10002,宜蘭縣,10002080,冬山鄉,171,10368.67,8900000,159034,2,93.65,6650000,145028,105Y4S
10002,宜蘭縣,10002090,五結鄉,102,6421.83,7800000,152067,25,1237.39,4200000,105133,105Y4S
10002,宜蘭縣,10002100,三星鄉,73,4779.85,9000000,153662,,,,,105Y4S
10002,宜蘭縣,10002110,大同鄉,1,26.29,700000,26623,,,,,105Y4S
10002,宜蘭縣,10002120,南澳鄉,1,48.18,6800000,141131,,,,,105Y4S
10004,新竹縣,10004010,竹北市,1052,44507.84,8600000,240235,398,23698.05,9990000,191524,105Y4S
10004,新竹縣,10004020,竹東鎮,168,7713.15,5780000,149495,206,9761.99,6705000,138235,105Y4S
10004,新竹縣,10004030,新埔鎮,44,2245.08,5150000,147721,5,172.93,5000000,136020,105Y4S
10004,新竹縣,10004040,關西鎮,11,1046.4,5460000,78245,,,,,105Y4S
10004,新竹縣,10004050,湖口鄉,252,13659.49,5200000,152990,27,1155.09,4900000,159492,105Y4S
10004,新竹縣,10004060,新豐鄉,139,7416.4,7680000,137395,13,509.66,5800000,137464,105Y4S
10004,新竹縣,10004070,芎林鄉,27,1923.23,13000000,173182,8,267.17,1900000,79037,105Y4S
10004,新竹縣,10004080,橫山鄉,7,417.65,8580000,136766,,,,,105Y4S
10004,新竹縣,10004090,北埔鄉,3,90.81,3280000,120480,,,,,105Y4S
10004,新竹縣,10004100,寶山鄉,82,7526.91,5530000,174139,6,232.37,3970000,104510,105Y4S
10004,新竹縣,10004110,峨眉鄉,2,132.4,4964109,88873,,,,,105Y4S
10004,新竹縣,10004120,尖石鄉,,,,,,,,,105Y4S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,105Y4S
10005,苗栗縣,10005010,苗栗市,164,8468.83,5125000,117143,29,1279.49,6240000,132433,105Y4S
10005,苗栗縣,10005020,苑裡鎮,58,3554.55,6750000,108240,5,68.53,1066667,89854,105Y4S
10005,苗栗縣,10005030,通霄鎮,15,1116.62,3000000,54641,,,,,105Y4S
10005,苗栗縣,10005040,竹南鎮,191,12292,6300000,141774,68,2993.03,5940000,162685,105Y4S
10005,苗栗縣,10005050,頭份市,197,9363.74,4800000,130347,65,4099.14,5500000,139383,105Y4S
10005,苗栗縣,10005060,後龍鎮,25,1193.51,4500000,112229,4,212.45,5875000,110199,105Y4S
10005,苗栗縣,10005070,卓蘭鎮,2,58.17,3450000,133927,,,,,105Y4S
10005,苗栗縣,10005080,大湖鄉,9,397.27,4600000,100506,,,,,105Y4S
10005,苗栗縣,10005090,公館鄉,31,2662.03,4900000,101456,3,71.81,1600000,82233,105Y4S
10005,苗栗縣,10005100,銅鑼鄉,17,690.1,4000000,93211,,,,,105Y4S
10005,苗栗縣,10005110,南庄鄉,4,168.23,4388215,112316,,,,,105Y4S
10005,苗栗縣,10005120,頭屋鄉,10,507.62,3175000,61128,9,287.68,4660000,141338,105Y4S
10005,苗栗縣,10005130,三義鄉,18,851.95,4150000,91618,,,,,105Y4S
10005,苗栗縣,10005140,西湖鄉,,,,,,,,,105Y4S
10005,苗栗縣,10005150,造橋鄉,20,312.92,359000,49542,,,,,105Y4S
10005,苗栗縣,10005160,三灣鄉,1,57.22,1800000,31457,,,,,105Y4S
10005,苗栗縣,10005170,獅潭鄉,,,,,,,,,105Y4S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,105Y4S
10007,彰化縣,10007010,彰化市,360,20583.42,6640000,154753,70,3930.23,5384821,121715,105Y4S
10007,彰化縣,10007020,鹿港鎮,91,10415.43,7100000,127294,8,413.85,3740000,80493,105Y4S
10007,彰化縣,10007030,和美鎮,134,6507.9,6300000,151005,7,276.63,5180000,108882,105Y4S
10007,彰化縣,10007040,線西鄉,7,470.28,6500000,91672,,,,,105Y4S
10007,彰化縣,10007050,伸港鄉,32,1592.83,4600000,108980,,,,,105Y4S
10007,彰化縣,10007060,福興鄉,89,6070.02,7200000,128069,1,38.34,2600000,67811,105Y4S
10007,彰化縣,10007070,秀水鄉,66,4403.12,6400000,119437,,,,,105Y4S
10007,彰化縣,10007080,花壇鄉,61,3136.81,6000000,124646,5,390.27,11650000,195168,105Y4S
10007,彰化縣,10007090,芬園鄉,7,211.85,6500000,145149,,,,,105Y4S
10007,彰化縣,10007100,員林市,187,10513.92,7000000,159593,23,1826.65,8600000,144098,105Y4S
10007,彰化縣,10007110,溪湖鎮,42,2128.04,6200000,128811,4,262.52,8550000,131578,105Y4S
10007,彰化縣,10007120,田中鎮,30,1438.94,4450000,101695,,,,,105Y4S
10007,彰化縣,10007130,大村鄉,56,2573.83,5700000,143669,2,68.31,3400000,100564,105Y4S
10007,彰化縣,10007140,埔鹽鄉,9,466.43,6500000,124774,,,,,105Y4S
10007,彰化縣,10007150,埔心鄉,45,2255.19,6860000,137065,1,57.15,9310000,162892,105Y4S
10007,彰化縣,10007160,永靖鄉,33,1687.91,5930000,110841,,,,,105Y4S
10007,彰化縣,10007170,社頭鄉,18,865.79,6125000,131918,,,,,105Y4S
10007,彰化縣,10007180,二水鄉,7,398.02,4000000,58634,,,,,105Y4S
10007,彰化縣,10007190,北斗鎮,92,5117.34,7600000,136899,,,,,105Y4S
10007,彰化縣,10007200,二林鎮,38,2408.6,6500000,111225,1,32.77,3000000,91556,105Y4S
10007,彰化縣,10007210,田尾鄉,50,2822.73,6550000,120051,,,,,105Y4S
10007,彰化縣,10007220,埤頭鄉,34,1975.33,5500000,94896,,,,,105Y4S
10007,彰化縣,10007230,芳苑鄉,6,1893.59,10400000,75919,,,,,105Y4S
10007,彰化縣,10007240,大城鄉,5,184.9,2300000,41786,,,,,105Y4S
10007,彰化縣,10007250,竹塘鄉,9,392.46,2500000,68966,,,,,105Y4S
10007,彰化縣,10007260,溪州鄉,15,702.73,3460000,78607,,,,,105Y4S
10008,南投縣,10008010,南投市,136,6978.69,6000000,134917,3,100.32,2950000,76379,105Y4S
10008,南投縣,10008020,埔里鎮,107,4613.38,4400000,126120,3,122.22,5100000,120219,105Y4S
10008,南投縣,10008030,草屯鎮,148,7939.31,8000000,133616,9,492.02,4000000,96941,105Y4S
10008,南投縣,10008040,竹山鎮,86,4146.4,3600000,79616,2,94.8,4790000,88704,105Y4S
10008,南投縣,10008050,集集鎮,11,532.2,4000000,96635,,,,,105Y4S
10008,南投縣,10008060,名間鄉,33,1670.82,4700000,120429,,,,,105Y4S
10008,南投縣,10008070,鹿谷鄉,7,426.74,5100000,58908,1,71.1,4960000,69764,105Y4S
10008,南投縣,10008080,中寮鄉,6,265.28,3050000,80552,,,,,105Y4S
10008,南投縣,10008090,魚池鄉,5,806.27,3500000,56875,,,,,105Y4S
10008,南投縣,10008100,國姓鄉,17,707.93,3072180,75330,,,,,105Y4S
10008,南投縣,10008110,水里鄉,14,521.16,1575000,51501,,,,,105Y4S
10008,南投縣,10008120,信義鄉,1,36.07,3000000,83164,,,,,105Y4S
10008,南投縣,10008130,仁愛鄉,1,15.22,500000,32861,,,,,105Y4S
10009,雲林縣,10009010,斗六市,238,19428.61,5890000,108566,25,1295.93,3120000,79238,105Y4S
10009,雲林縣,10009020,斗南鎮,54,2207.12,3060000,82655,2,87.44,2719400,62633,105Y4S
10009,雲林縣,10009030,虎尾鎮,171,9246.51,5800000,114323,3,166.81,4000000,87538,105Y4S
10009,雲林縣,10009040,西螺鎮,78,4201.47,6840000,119956,,,,,105Y4S
10009,雲林縣,10009050,土庫鎮,30,1623.86,5600000,89722,,,,,105Y4S
10009,雲林縣,10009060,北港鎮,31,1699.99,3200000,75616,4,117.16,1822500,70913,105Y4S
10009,雲林縣,10009070,古坑鄉,24,1195.47,3850000,87042,,,,,105Y4S
10009,雲林縣,10009080,大埤鄉,8,394.24,3650000,84788,,,,,105Y4S
10009,雲林縣,10009090,莿桐鄉,17,1325.79,3000000,59039,,,,,105Y4S
10009,雲林縣,10009100,林內鄉,11,528.54,2600000,64010,,,,,105Y4S
10009,雲林縣,10009110,二崙鄉,19,846.05,3200000,74607,,,,,105Y4S
10009,雲林縣,10009120,崙背鄉,15,5535.04,4350000,77337,,,,,105Y4S
10009,雲林縣,10009130,麥寮鄉,22,1108.64,5550000,105446,1,29.55,2500000,84599,105Y4S
10009,雲林縣,10009140,東勢鄉,5,213.64,2500000,45866,,,,,105Y4S
10009,雲林縣,10009150,褒忠鄉,4,203.26,3880000,76838,,,,,105Y4S
10009,雲林縣,10009160,臺西鄉,2,243.16,4500000,36967,,,,,105Y4S
