COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,273,11729.47,5000000,144811,24,1075.02,6280000,130920,104Y2S
10002,宜蘭縣,10002020,羅東鎮,181,7922.07,4800000,152325,26,1133.61,5050000,139147,104Y2S
10002,宜蘭縣,10002030,蘇澳鎮,67,3244.9,4450000,90028,,,,,104Y2S
10002,宜蘭縣,10002040,頭城鎮,30,1374.75,4800000,132500,2,87.91,5850000,153561,104Y2S
10002,宜蘭縣,10002050,礁溪鄉,332,9663.66,8000000,284656,19,709.71,13960000,362251,104Y2S
10002,宜蘭縣,10002060,壯圍鄉,56,3063.86,7550000,127943,,,,,104Y2S
10002,宜蘭縣,10002070,員山鄉,71,3942.85,7380000,141221,3,120.93,3500000,101271,104Y2S
10002,宜蘭縣,10002080,冬山鄉,112,5925.86,7000000,140050,3,169.17,5100000,77877,104Y2S
10002,宜蘭縣,10002090,五結鄉,152,7150.24,5950000,127703,9,368.75,3200000,86317,104Y2S
10002,宜蘭縣,10002100,三星鄉,34,2598.98,6877150,125489,,,,,104Y2S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,104Y2S
10002,宜蘭縣,10002120,南澳鄉,1,19.96,800000,40070,,,,,104Y2S
10004,新竹縣,10004010,竹北市,351,22660.26,11540000,219954,409,24200.2,10100000,195272,104Y2S
10004,新竹縣,10004020,竹東鎮,207,9368.84,4100000,126805,55,2169.46,4100000,114598,104Y2S
10004,新竹縣,10004030,新埔鎮,41,2385.05,8800000,122099,5,233.15,2450000,66208,104Y2S
10004,新竹縣,10004040,關西鎮,25,1139.28,3850000,106314,3,138.28,2800000,65093,104Y2S
10004,新竹縣,10004050,湖口鄉,286,29460.05,4275000,142912,49,1622.25,4800000,149965,104Y2S
10004,新竹縣,10004060,新豐鄉,187,8863.04,6250000,135364,8,211.09,2950000,135238,104Y2S
10004,新竹縣,10004070,芎林鄉,23,1081.85,5400000,111818,3,127.81,3800000,83231,104Y2S
10004,新竹縣,10004080,橫山鄉,7,314.64,4400000,111007,,,,,104Y2S
10004,新竹縣,10004090,北埔鄉,4,307.73,5050000,103764,,,,,104Y2S
10004,新竹縣,10004100,寶山鄉,25,1462.59,5580000,149087,11,394.4,3400000,87831,104Y2S
10004,新竹縣,10004110,峨眉鄉,1,93.95,45000000,478976,,,,,104Y2S
10004,新竹縣,10004120,尖石鄉,2,88.85,2582700,53034,,,,,104Y2S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,104Y2S
10005,苗栗縣,10005010,苗栗市,190,15810.77,4000000,101349,13,558.72,4800000,115073,104Y2S
10005,苗栗縣,10005020,苑裡鎮,44,2380.68,4650000,109001,1,34.13,1800000,52738,104Y2S
10005,苗栗縣,10005030,通霄鎮,14,647.6,1900000,55292,,,,,104Y2S
10005,苗栗縣,10005040,竹南鎮,288,17917.03,9800000,159108,48,2417.19,5100000,138600,104Y2S
10005,苗栗縣,10005050,頭份鎮,190,9243.99,5200000,128300,72,2699.9,5450000,144538,104Y2S
10005,苗栗縣,10005060,後龍鎮,18,913.47,4250000,111625,,,,,104Y2S
10005,苗栗縣,10005070,卓蘭鎮,6,426.37,6250000,86122,,,,,104Y2S
10005,苗栗縣,10005080,大湖鄉,9,516.17,4560000,83799,,,,,104Y2S
10005,苗栗縣,10005090,公館鄉,32,2232.73,6365000,97821,1,36.98,2200000,59486,104Y2S
10005,苗栗縣,10005100,銅鑼鄉,26,15181.91,6250000,69349,,,,,104Y2S
10005,苗栗縣,10005110,南庄鄉,5,375.57,8000000,71525,,,,,104Y2S
10005,苗栗縣,10005120,頭屋鄉,11,980.23,5600000,101838,,,,,104Y2S
10005,苗栗縣,10005130,三義鄉,14,684.93,5350000,125944,,,,,104Y2S
10005,苗栗縣,10005140,西湖鄉,2,81.06,7275000,208360,,,,,104Y2S
10005,苗栗縣,10005150,造橋鄉,11,380.94,2200000,63695,,,,,104Y2S
10005,苗栗縣,10005160,三灣鄉,3,209.08,5500000,72357,,,,,104Y2S
10005,苗栗縣,10005170,獅潭鄉,2,81.38,1700000,41894,,,,,104Y2S
10005,苗栗縣,10005180,泰安鄉,4,671.71,2940000,17723,,,,,104Y2S
10007,彰化縣,10007010,彰化市,553,24659.46,4500000,131776,99,6037.13,6200000,125750,104Y2S
10007,彰化縣,10007020,鹿港鎮,94,11791.24,6125000,115481,8,387.08,3550000,94313,104Y2S
10007,彰化縣,10007030,和美鎮,181,11106.67,6980000,134565,8,302.9,4040000,114353,104Y2S
10007,彰化縣,10007040,線西鄉,12,3179.36,28750000,77162,,,,,104Y2S
10007,彰化縣,10007050,伸港鄉,43,2446.45,6000000,112935,1,41.7,2700000,64749,104Y2S
10007,彰化縣,10007060,福興鄉,25,1857.06,5000000,99852,1,27.65,2900000,104877,104Y2S
10007,彰化縣,10007070,秀水鄉,44,2202.28,6200000,134837,,,,,104Y2S
10007,彰化縣,10007080,花壇鄉,51,2222.46,6500000,142872,1,66.12,8550000,129304,104Y2S
10007,彰化縣,10007090,芬園鄉,11,523.5,3800000,136478,1,51.22,5880000,114800,104Y2S
10007,彰化縣,10007100,員林鎮,204,10013.75,5952000,143894,24,1802.82,8500000,148769,104Y2S
10007,彰化縣,10007110,溪湖鎮,48,2815.78,7500000,136207,3,141.96,3600000,89366,104Y2S
10007,彰化縣,10007120,田中鎮,43,2586.52,6660000,115022,1,36.26,1500000,41367,104Y2S
10007,彰化縣,10007130,大村鄉,45,2382.16,5600000,135248,,,,,104Y2S
10007,彰化縣,10007140,埔鹽鄉,5,586.5,2600000,61503,,,,,104Y2S
10007,彰化縣,10007150,埔心鄉,23,1088.18,4800000,125977,,,,,104Y2S
10007,彰化縣,10007160,永靖鄉,15,1130.94,5300000,102517,,,,,104Y2S
10007,彰化縣,10007170,社頭鄉,41,2087.59,5200000,101716,,,,,104Y2S
10007,彰化縣,10007180,二水鄉,9,386.63,2600000,59840,,,,,104Y2S
10007,彰化縣,10007190,北斗鎮,65,3278.22,5300000,113315,,,,,104Y2S
10007,彰化縣,10007200,二林鎮,36,1687.29,4950000,89083,,,,,104Y2S
10007,彰化縣,10007210,田尾鄉,25,1970.98,5100000,95323,,,,,104Y2S
10007,彰化縣,10007220,埤頭鄉,20,819.22,2920500,66125,,,,,104Y2S
10007,彰化縣,10007230,芳苑鄉,14,1040.66,2650000,54913,,,,,104Y2S
10007,彰化縣,10007240,大城鄉,1,53.02,1370000,25838,,,,,104Y2S
10007,彰化縣,10007250,竹塘鄉,12,729.21,2250000,52305,,,,,104Y2S
10007,彰化縣,10007260,溪州鄉,21,981.73,4800000,102644,,,,,104Y2S
10008,南投縣,10008010,南投市,163,13208.59,5500000,114566,8,434.9,3300000,72017,104Y2S
10008,南投縣,10008020,埔里鎮,144,7432.65,4300000,110798,7,317.34,2800000,65960,104Y2S
10008,南投縣,10008030,草屯鎮,143,6719.15,5300000,129132,7,322.66,3000000,68704,104Y2S
10008,南投縣,10008040,竹山鎮,82,3845.3,3470500,72528,1,85.48,3492000,40851,104Y2S
10008,南投縣,10008050,集集鎮,10,410.58,3150000,79475,,,,,104Y2S
10008,南投縣,10008060,名間鄉,16,652.69,2300000,67867,,,,,104Y2S
10008,南投縣,10008070,鹿谷鄉,6,192.71,4048500,115516,,,,,104Y2S
10008,南投縣,10008080,中寮鄉,6,155.13,1000000,45529,,,,,104Y2S
10008,南投縣,10008090,魚池鄉,9,138.63,1500000,135289,,,,,104Y2S
10008,南投縣,10008100,國姓鄉,46,783.69,234483,59208,,,,,104Y2S
10008,南投縣,10008110,水里鄉,15,777.32,2000000,58064,,,,,104Y2S
10008,南投縣,10008120,信義鄉,,,,,,,,,104Y2S
10008,南投縣,10008130,仁愛鄉,1,72.99,33000000,452097,,,,,104Y2S
10009,雲林縣,10009010,斗六市,350,27514.65,4200000,95581,21,967.69,2920000,75368,104Y2S
10009,雲林縣,10009020,斗南鎮,80,4314.31,4990000,104485,1,35.02,2250000,64254,104Y2S
10009,雲林縣,10009030,虎尾鎮,219,12540.99,6380000,104820,10,371.11,3290000,80321,104Y2S
10009,雲林縣,10009040,西螺鎮,46,2733.23,7050000,109980,1,35.69,1650000,46229,104Y2S
10009,雲林縣,10009050,土庫鎮,7,491.86,4200000,69613,,,,,104Y2S
10009,雲林縣,10009060,北港鎮,39,1899.98,3200000,75773,1,53.95,1750000,32437,104Y2S
10009,雲林縣,10009070,古坑鄉,21,1321.23,4800000,84517,,,,,104Y2S
10009,雲林縣,10009080,大埤鄉,16,779,2430000,53746,,,,,104Y2S
10009,雲林縣,10009090,莿桐鄉,49,2591.7,5250000,103160,1,32.45,2000000,61635,104Y2S
10009,雲林縣,10009100,林內鄉,11,857.31,2700000,73535,,,,,104Y2S
10009,雲林縣,10009110,二崙鄉,12,969.05,3500000,61536,,,,,104Y2S
10009,雲林縣,10009120,崙背鄉,10,445.07,3225000,65622,,,,,104Y2S
10009,雲林縣,10009130,麥寮鄉,18,880.52,4750000,86439,,,,,104Y2S
10009,雲林縣,10009140,東勢鄉,2,116.26,7800000,134286,,,,,104Y2S
