COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,279,109,9,43,54,44,7,,13,14696.94,7288.8,530.22,1759.78,1772.17,2791.96,181.41,,372.6,8050000,11500000,10500000,5350000,3950000,3920000,7500000,,7000000,166212,179706,206747,165947,136048,152233,269816,,270637,51,23,5,8,15,,,,,2917.97,1585.83,183.15,387.89,761.1,,,,,9500000,14500000,3421667,7175000,5500000,,,,,177358,239075,118737,154378,131928,,,,,"105Y2S"
10002,宜蘭縣,10002020,羅東鎮,172,26,7,33,63,29,10,3,1,8034.73,1746.96,260.4,1229.88,3098.49,1213.55,299.04,118.12,68.31,5640000,11896000,6000000,5450000,4450000,3800000,6300000,19200000,47500000,163023,188759,185946,171737,156073,141263,217673,268829,695385,23,,3,8,12,,,,,1008.9,,124.91,289.38,594.61,,,,,5500000,,6900000,5275000,5500000,,,,,144489,,174976,156990,124383,,,,,"105Y2S"
10002,宜蘭縣,10002030,蘇澳鎮,63,24,2,3,10,20,4,,,3194.66,1555.11,102.43,126.52,458.11,816.61,135.87,,,5300000,7105000,7900000,5200000,2775000,2800000,3070000,,,98177,124900,165167,77917,54976,87059,64024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105Y2S"
10002,宜蘭縣,10002040,頭城鎮,27,7,1,6,8,3,1,,1,1249.88,525.65,51.17,167.7,377.8,91.01,26.55,,9.98,5200000,11000000,8500000,2425000,5790000,3150000,3980000,,600000,119762,156734,166100,111372,97392,95470,149886,,60105,1,,,1,,,,,,30.27,,,30.27,,,,,,4180000,,,4180000,,,,,,138085,,,138085,,,,,,"105Y2S"
10002,宜蘭縣,10002050,礁溪鄉,161,84,12,24,25,15,1,,,6848.53,4562.82,500.5,637.6,737.48,389.77,20.36,,,8000000,10390000,7900000,4000000,3300000,3500000,9100000,,,200101,205910,298879,201967,130287,145104,446860,,,7,2,1,2,2,,,,,285.78,111.06,44.76,83.89,46.08,,,,,7400000,18885000,15680000,5825000,3050000,,,,,211376,319181,350306,160705,151638,,,,,"105Y2S"
10002,宜蘭縣,10002060,壯圍鄉,58,36,2,5,12,3,,,,3600.85,2447.63,93.92,409.63,519.14,130.53,,,,8525000,8875000,7000000,6500000,4100000,5000000,,,,142237,149177,150268,77697,97981,90903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105Y2S"
10002,宜蘭縣,10002070,員山鄉,83,49,3,7,12,11,1,,,5493.08,4027.05,155.67,372.44,530.67,399.1,8.16,,,7480000,7600000,11100000,6420000,8571429,4700000,1300000,,,103977,100504,300653,130625,146466,114959,159344,,,1,,,,1,,,,,35.53,,,,35.53,,,,,3900000,,,,3900000,,,,,109761,,,,109761,,,,,"105Y2S"
10002,宜蘭縣,10002080,冬山鄉,94,28,9,12,12,23,7,1,2,4701.71,1866.18,625.14,583.09,583.99,759.03,202.74,22.81,58.73,6790000,9000000,12000000,4900000,6390000,4400000,6000000,8000000,3830000,149367,161792,164073,129353,113921,122887,198600,350746,132348,2,,,,2,,,,,82.49,,,,82.49,,,,,2810000,,,,2810000,,,,,68679,,,,68679,,,,,"105Y2S"
10002,宜蘭縣,10002090,五結鄉,101,41,5,11,22,18,2,,2,5344.04,2579.32,210.61,450.19,1258.49,750.94,63.44,,31.05,7800000,10000000,11380000,5700000,3600000,5100000,13275000,,3000000,161608,179492,191235,96735,101111,142740,392158,,198209,14,6,1,4,3,,,,,623.3,263.12,45.71,160.17,154.3,,,,,6490000,9365000,9580000,3100000,5800000,,,,,151347,209585,209565,82528,105727,,,,,"105Y2S"
