COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,244,101,10,40,48,32,5,,8,10625.39,5360.67,578.27,1630.79,1810.01,917.75,154.68,,173.23,5700000,8950000,13934445,5100000,4200000,3750000,8040000,,6450000,153633,160584,192040,136090,121551,134462,273610,,382630,27,1,1,13,12,,,,,1246.62,54.9,132.46,537.41,521.85,,,,,5450000,6000000,12180000,5200000,5250000,,,,,124894,109288,91949,133504,113292,,,,,"104Y1S"
10002,宜蘭縣,10002020,羅東鎮,145,13,7,39,47,28,9,1,1,6376.68,842.6,1006.87,1044.4,1813.04,1393.05,225.33,19.66,31.74,5500000,14953285,19000000,3500000,4550000,8600000,4000000,6309800,6380000,159511,239744,244321,152785,143181,196926,126375,320905,201019,24,1,,14,9,,,,,917.53,122.54,,452.62,342.37,,,,,4850000,28000000,,4650000,4960000,,,,,132019,228503,,135890,126580,,,,,"104Y1S"
10002,宜蘭縣,10002030,蘇澳鎮,80,27,,19,5,25,3,1,,4029.84,1705.14,,1135.92,187.26,900.72,56.48,44.31,,4000000,6800000,,3670000,1800000,2650000,3000000,3000000,,97469,111551,,73487,61303,76077,206006,67705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10002,宜蘭縣,10002040,頭城鎮,22,6,1,2,1,10,,,2,771.59,298.37,20.39,73.2,23.69,310.3,,,45.64,4915000,12100000,4500000,3850000,2250000,4415000,,,3962800,139950,212829,220713,106104,94970,122266,,,215188,1,,,1,,,,,,73.8,,,73.8,,,,,,6000000,,,6000000,,,,,,81296,,,81296,,,,,,"104Y1S"
10002,宜蘭縣,10002050,礁溪鄉,468,358,21,36,25,22,2,,4,14874.27,12390.43,501.2,733.08,564.77,545.5,46.28,,93,6285000,6960000,6500000,3465000,3150000,3125000,13320000,,4612500,235167,243364,353497,203933,168141,138682,601529,,179469,6,1,,5,,,,,,213.42,58.47,,154.95,,,,,,4200000,28100000,,4100000,,,,,,179062,480611,,161864,,,,,,"104Y1S"
10002,宜蘭縣,10002060,壯圍鄉,52,25,2,6,12,6,,,1,2771.75,1528.62,94.81,358.87,585.63,194.86,,,8.96,8425000,16000000,12650000,4800000,4600000,3125000,,,1280000,143850,237927,260651,94334,102415,107451,,,142808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10002,宜蘭縣,10002070,員山鄉,56,16,11,5,10,12,1,,1,3231.03,1182.97,647.49,334.36,599.47,409.28,9.74,,47.73,7575000,17000000,8380000,6700000,6075000,3525000,3000000,,16740000,158962,228736,160501,84770,109136,106102,308088,,350734,2,,,,2,,,,,66.72,,,,66.72,,,,,3575000,,,,3575000,,,,,109098,,,,109098,,,,,"104Y1S"
10002,宜蘭縣,10002080,冬山鄉,108,43,8,15,11,27,3,,1,6059.45,3364.08,497.8,682.72,569.19,850.81,84.64,,10.2,6950000,8850000,6600000,5250000,5160000,4550000,8200000,,2500000,137555,145697,156579,113437,106147,146999,326399,,245091,2,,,2,,,,,,84.92,,,84.92,,,,,,3490000,,,3490000,,,,,,85070,,,85070,,,,,,"104Y1S"
10002,宜蘭縣,10002090,五結鄉,127,68,7,15,20,11,5,,1,7359.67,4329.57,866.33,558.51,1124.37,346.74,113.58,,20.57,7880000,8550000,19000000,3600000,5925000,3350000,4650000,,2200000,132955,138210,119283,97652,123370,89105,214110,,106952,17,2,3,10,2,,,,,801.46,51.92,168.23,464.84,116.47,,,,,3900000,4800000,10000000,3200000,4950000,,,,,81864,177754,199283,71495,84446,,,,,"104Y1S"
10002,宜蘭縣,10002100,三星鄉,43,17,10,9,1,6,,,,2288.59,1185.53,449.91,372.5,61.34,219.32,,,,5600000,7000000,5350000,4100000,2500000,4325000,,,,122939,128694,146730,80987,40758,117900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004010,竹北市,276,150,53,30,30,6,3,,4,14436.99,8861.68,2486.57,1488.47,1192.28,200.49,72.92,,134.57,8300000,9785000,5760000,6270000,4369000,7315000,4000000,,4110000,207723,213424,235865,182417,138720,191302,178065,,175924,559,405,95,47,11,,,,1,34382.9,27296.78,4513.47,2076.95,454.26,,,,41.44,9820000,10200000,8900000,7650000,5000000,,,,4058500,186788,187137,190989,181529,138258,,,,97931,"104Y1S"
10004,新竹縣,10004020,竹東鎮,174,32,8,57,32,4,1,1,39,7860.79,2354.48,365.35,2430.27,1310.22,135.02,17.7,9.82,1237.94,3910000,13215000,10090000,3200000,3200000,4995000,2500000,5700000,3660000,119441,163155,161187,102551,101665,160089,141273,580677,120964,41,7,4,14,15,,,,1,1744.33,461.95,121.97,581.6,534.57,,,,44.23,4350000,9300000,3990000,4015000,4130000,,,,4800000,109531,114430,140489,111208,98926,,,,108520,"104Y1S"
10004,新竹縣,10004030,新埔鎮,16,1,2,4,1,2,,,6,831.59,55.46,171.07,188.62,60.49,62.6,,,293.35,4475000,9280000,18090000,3290000,8000000,3800000,,,3825000,133021,167327,211277,94065,132251,121578,,,129313,4,,1,,3,,,,,225.86,,103.62,,122.25,,,,,5000000,,24000000,,4800000,,,,,117702,,231619,,112994,,,,,"104Y1S"
10004,新竹縣,10004040,關西鎮,13,4,2,2,2,2,,,1,710.65,270.14,81.37,102.89,98.08,91,,,67.17,8000000,9650000,5575000,4250000,6000000,3668559,,,10000000,128853,132528,167480,82779,107128,80286,,,148882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004050,湖口鄉,274,144,22,43,26,15,2,,22,11454.54,5867.37,1056.26,1351.05,1205.1,1101.12,66.31,,807.34,4080000,4229000,5750000,3300000,3890000,3119560,5625000,,3225000,151025,176281,128911,108700,107197,108327,162419,,112977,8,2,2,1,3,,,,,289.09,73.2,66.89,27.18,121.81,,,,,4250000,5725000,4325000,2900000,4000000,,,,,113054,156767,130126,106686,94387,,,,,"104Y1S"
10004,新竹縣,10004060,新豐鄉,107,34,24,14,15,9,1,,10,4687.55,1894.31,920.9,532.58,605,270.17,45.21,,419.39,4700000,9415000,4700000,2125000,3000000,2900000,1700000,,5300000,127083,149263,128103,74851,87101,106966,37601,,130433,4,,,2,1,,,,1,163.03,,,77.88,44.3,,,,40.84,2950000,,,4000000,2350000,,,,3400000,73327,,,103219,53042,,,,83257,"104Y1S"
10004,新竹縣,10004070,芎林鄉,24,2,2,14,2,,,,4,631.58,62.67,25.04,321.91,69.6,,,,152.36,1384000,4875000,850000,1168000,2145000,,,,1790000,84259,676969,67881,84259,61439,,,,87209,3,,,1,2,,,,,144.43,,,43.03,101.4,,,,,3500000,,,3500000,3535000,,,,,81337,,,81337,71767,,,,,"104Y1S"
10004,新竹縣,10004080,橫山鄉,6,1,,3,,,,,2,283.8,38.72,,178.58,,,,,66.5,4390000,8150000,,4180000,,,,,3330000,79162,210486,,74661,,,,,101466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004090,北埔鄉,3,,,1,,,1,,1,115.03,,,63.33,,,17.94,,33.76,4950000,,,8600000,,,3000000,,4950000,146628,,,135787,,,167212,,146628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004100,寶山鄉,10,,2,4,1,,,,3,629.34,,101.91,280.56,27.16,,,,219.71,6630000,,7840000,9050000,3800000,,,,6460000,125664,,154367,138928,139904,,,,83848,9,,,3,6,,,,,363.66,,,116.87,246.79,,,,,3450000,,,3600000,3450000,,,,,89899,,,89899,82902,,,,,"104Y1S"
10004,新竹縣,10004110,峨眉鄉,2,,,,,1,1,,,111.12,,,,,82.43,28.69,,,8250000,,,,,3500000,13000000,,,247774,,,,,42463,453086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004120,尖石鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10004,新竹縣,10004130,五峰鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10005,苗栗縣,10005010,苗栗市,160,32,14,27,32,22,4,4,25,7855.63,2322.33,740.75,934.99,1481.32,1242.29,163.71,155.16,815.09,3915000,10160000,7550000,2760000,2950000,3500000,1445400,8215000,2538000,109675,161555,130620,86341,84018,86236,71010,248783,82796,27,23,,1,3,,,,,1166.94,1028.48,,37.78,100.68,,,,,2400000,2400000,,3300000,2340000,,,,,53108,52905,,87357,80726,,,,,"104Y1S"
10005,苗栗縣,10005020,苑裡鎮,34,13,3,2,6,3,1,,6,1817.5,922.55,124.5,118.07,194.66,152.05,70.68,,234.99,6113333,7800000,5000000,4080000,5183333,3500000,22500000,,3125000,116935,119289,105610,63279,138703,88975,318326,,90960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10005,苗栗縣,10005030,通霄鎮,6,,,,2,,,,4,290.76,,,,145.74,,,,145.02,3000000,,,,7800000,,,,2900000,71630,,,,108996,,,,69974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10005,苗栗縣,10005040,竹南鎮,143,82,14,17,13,12,2,1,2,6229.87,3652.15,804.56,629.17,584.09,383.53,87.16,24.88,64.32,4800000,5065000,9300000,4300000,5600000,2750000,4800000,6200000,1722680,130847,135788,146743,118193,106540,96659,110147,249160,49529,23,11,,8,4,,,,,996.45,522.81,,340.47,133.17,,,,,4800000,5300000,,3710000,3300000,,,,,120271,131867,,100428,105725,,,,,"104Y1S"
10005,苗栗縣,10005050,頭份鎮,169,50,24,32,29,21,9,,4,9003.84,2595.01,1134.27,1446.65,2542.56,866.13,273.84,,145.38,5100000,8340000,6815000,3655000,3900000,2525000,1440000,,6025000,140704,153894,152618,104857,105904,85568,99612,,156818,33,16,5,7,4,,,,1,1257.65,646.07,131.67,273.12,166.01,,,,40.78,4880000,6505000,3450000,3900000,4490000,,,,5400000,142945,148049,147180,99135,104094,,,,132408,"104Y1S"
10005,苗栗縣,10005060,後龍鎮,10,,2,3,2,3,,,,592.12,,101.03,207.11,119.03,164.95,,,,5100000,,4500000,5560000,5800000,4500000,,,,95023,,89463,105365,97945,87069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10005,苗栗縣,10005070,卓蘭鎮,12,2,1,2,3,3,,,1,478.98,107.77,11.85,106.48,107.88,88.23,,,56.77,4200000,8300000,500000,5250000,4900000,3250000,,,6000000,119137,153905,42187,94237,124027,79261,,,105695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
10005,苗栗縣,10005080,大湖鄉,37,,1,15,19,2,,,,2370.9,,52.94,754.74,1478.46,84.76,,,,4980000,,6800000,6416667,4680000,3450000,,,,78177,,128446,124438,58118,77658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y1S"
