COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,277,11808.64,5850000,154170,28,1217.11,5725000,132664,104Y3S
10002,宜蘭縣,10002020,羅東鎮,157,6389.55,4450000,159571,24,1031.4,5551331,141850,104Y3S
10002,宜蘭縣,10002030,蘇澳鎮,66,3694.23,4400000,95512,1,42,2100000,50001,104Y3S
10002,宜蘭縣,10002040,頭城鎮,23,995.71,4200000,140363,2,95.71,8950000,175240,104Y3S
10002,宜蘭縣,10002050,礁溪鄉,116,3759.98,4830000,200949,12,540.86,19000000,378548,104Y3S
10002,宜蘭縣,10002060,壯圍鄉,29,1331.02,4400000,103945,1,45.92,2960000,64465,104Y3S
10002,宜蘭縣,10002070,員山鄉,47,2496.91,7200000,147045,,,,,104Y3S
10002,宜蘭縣,10002080,冬山鄉,124,7878.54,8250000,142127,2,55.63,3450000,123813,104Y3S
10002,宜蘭縣,10002090,五結鄉,97,6483.36,7700000,137969,6,281.55,3255000,69705,104Y3S
10002,宜蘭縣,10002100,三星鄉,37,1903.5,6800000,150438,1,45.72,3000000,65613,104Y3S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,104Y3S
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,104Y3S
10004,新竹縣,10004010,竹北市,396,22800.88,9275000,185605,528,26587.33,7715000,178591,104Y3S
10004,新竹縣,10004020,竹東鎮,354,11271.1,4000000,164019,797,38741.88,6810000,137195,104Y3S
10004,新竹縣,10004030,新埔鎮,45,2733.97,8850000,123605,2,74.03,4150000,109925,104Y3S
10004,新竹縣,10004040,關西鎮,13,794.05,5330000,97921,3,142.76,2200000,48475,104Y3S
10004,新竹縣,10004050,湖口鄉,246,16292.9,8215000,134867,20,648.72,3850000,104731,104Y3S
10004,新竹縣,10004060,新豐鄉,163,9319.51,7200000,129661,19,455.38,4100000,180596,104Y3S
10004,新竹縣,10004070,芎林鄉,9,383.55,2940796,81024,1,55.88,5800000,103792,104Y3S
10004,新竹縣,10004080,橫山鄉,7,255.34,3500000,76646,,,,,104Y3S
10004,新竹縣,10004090,北埔鄉,2,76.51,3975000,114278,,,,,104Y3S
10004,新竹縣,10004100,寶山鄉,20,11546.49,6575000,149848,5,195.8,3550000,92448,104Y3S
10004,新竹縣,10004110,峨眉鄉,1,58.6,458700,7828,,,,,104Y3S
10004,新竹縣,10004120,尖石鄉,,,,,,,,,104Y3S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,104Y3S
10005,苗栗縣,10005010,苗栗市,172,8470.73,4800000,111872,12,532.44,6280000,156221,104Y3S
10005,苗栗縣,10005020,苑裡鎮,26,1340.14,5050000,109472,,,,,104Y3S
10005,苗栗縣,10005030,通霄鎮,22,1037.04,2800000,75361,,,,,104Y3S
10005,苗栗縣,10005040,竹南鎮,294,27037.62,7780000,139953,45,2288.91,5120000,137226,104Y3S
10005,苗栗縣,10005050,頭份鎮,195,9255.91,5710000,143617,35,1291.62,5400000,158737,104Y3S
10005,苗栗縣,10005060,後龍鎮,13,510.05,1800000,63573,,,,,104Y3S
10005,苗栗縣,10005070,卓蘭鎮,3,190.77,4850000,117960,,,,,104Y3S
10005,苗栗縣,10005080,大湖鄉,10,320.63,4650000,175552,,,,,104Y3S
10005,苗栗縣,10005090,公館鄉,30,1788.88,6500000,112537,,,,,104Y3S
10005,苗栗縣,10005100,銅鑼鄉,19,1900.3,3600000,89624,,,,,104Y3S
10005,苗栗縣,10005110,南庄鄉,4,629.38,17312500,92674,,,,,104Y3S
10005,苗栗縣,10005120,頭屋鄉,7,308.84,2300000,91938,,,,,104Y3S
10005,苗栗縣,10005130,三義鄉,12,631.03,5150000,99323,,,,,104Y3S
10005,苗栗縣,10005140,西湖鄉,2,64.71,2151275,51181,,,,,104Y3S
10005,苗栗縣,10005150,造橋鄉,12,589.4,3500000,63843,,,,,104Y3S
10005,苗栗縣,10005160,三灣鄉,4,258.98,5150000,79325,,,,,104Y3S
10005,苗栗縣,10005170,獅潭鄉,2,94.36,2000000,45334,,,,,104Y3S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,104Y3S
10007,彰化縣,10007010,彰化市,301,13913,5500000,150215,62,3236.92,6640000,133256,104Y3S
10007,彰化縣,10007020,鹿港鎮,122,8148.62,6803550,117834,9,389.77,3200000,73457,104Y3S
10007,彰化縣,10007030,和美鎮,133,6763.79,7000000,134967,8,279.18,3160000,84816,104Y3S
10007,彰化縣,10007040,線西鄉,9,264.43,4100000,127146,,,,,104Y3S
10007,彰化縣,10007050,伸港鄉,52,2850.81,6200000,132290,1,30.77,2000000,65004,104Y3S
