COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,244,10625.39,5700000,153633,27,1246.62,5450000,124894,104Y1S
10002,宜蘭縣,10002020,羅東鎮,145,6376.68,5500000,159511,24,917.53,4850000,132019,104Y1S
10002,宜蘭縣,10002030,蘇澳鎮,80,4029.84,4000000,97469,,,,,104Y1S
10002,宜蘭縣,10002040,頭城鎮,22,771.59,4915000,139950,1,73.8,6000000,81296,104Y1S
10002,宜蘭縣,10002050,礁溪鄉,468,14874.27,6285000,235167,6,213.42,4200000,179062,104Y1S
10002,宜蘭縣,10002060,壯圍鄉,52,2771.75,8425000,143850,,,,,104Y1S
10002,宜蘭縣,10002070,員山鄉,56,3231.03,7575000,158962,2,66.72,3575000,109098,104Y1S
10002,宜蘭縣,10002080,冬山鄉,108,6059.45,6950000,137555,2,84.92,3490000,85070,104Y1S
10002,宜蘭縣,10002090,五結鄉,127,7359.67,7880000,132955,17,801.46,3900000,81864,104Y1S
10002,宜蘭縣,10002100,三星鄉,43,2288.59,5600000,122939,,,,,104Y1S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,104Y1S
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,104Y1S
10004,新竹縣,10004010,竹北市,276,14436.99,8300000,207723,559,34382.9,9820000,186788,104Y1S
10004,新竹縣,10004020,竹東鎮,174,7860.79,3910000,119441,41,1744.33,4350000,109531,104Y1S
10004,新竹縣,10004030,新埔鎮,16,831.59,4475000,133021,4,225.86,5000000,117702,104Y1S
10004,新竹縣,10004040,關西鎮,13,710.65,8000000,128853,,,,,104Y1S
10004,新竹縣,10004050,湖口鄉,274,11454.54,4080000,151025,8,289.09,4250000,113054,104Y1S
10004,新竹縣,10004060,新豐鄉,107,4687.55,4700000,127083,4,163.03,2950000,73327,104Y1S
10004,新竹縣,10004070,芎林鄉,24,631.58,1384000,84259,3,144.43,3500000,81337,104Y1S
10004,新竹縣,10004080,橫山鄉,6,283.8,4390000,79162,,,,,104Y1S
10004,新竹縣,10004090,北埔鄉,3,115.03,4950000,146628,,,,,104Y1S
10004,新竹縣,10004100,寶山鄉,10,629.34,6630000,125664,9,363.66,3450000,89899,104Y1S
10004,新竹縣,10004110,峨眉鄉,2,111.12,8250000,247774,,,,,104Y1S
10004,新竹縣,10004120,尖石鄉,,,,,,,,,104Y1S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,104Y1S
10005,苗栗縣,10005010,苗栗市,160,7855.63,3915000,109675,27,1166.94,2400000,53108,104Y1S
10005,苗栗縣,10005020,苑裡鎮,34,1817.5,6113333,116935,,,,,104Y1S
10005,苗栗縣,10005030,通霄鎮,6,290.76,3000000,71630,,,,,104Y1S
10005,苗栗縣,10005040,竹南鎮,143,6229.87,4800000,130847,23,996.45,4800000,120271,104Y1S
10005,苗栗縣,10005050,頭份鎮,169,9003.84,5100000,140704,33,1257.65,4880000,142945,104Y1S
10005,苗栗縣,10005060,後龍鎮,10,592.12,5100000,95023,,,,,104Y1S
10005,苗栗縣,10005070,卓蘭鎮,12,478.98,4200000,119137,,,,,104Y1S
10005,苗栗縣,10005080,大湖鄉,37,2370.9,4980000,78177,,,,,104Y1S
10005,苗栗縣,10005090,公館鄉,25,1371.11,8300000,138691,1,41.58,1900000,45697,104Y1S
10005,苗栗縣,10005100,銅鑼鄉,11,1023.67,5300000,125148,,,,,104Y1S
10005,苗栗縣,10005110,南庄鄉,,,,,,,,,104Y1S
10005,苗栗縣,10005120,頭屋鄉,11,592.55,7550000,95306,,,,,104Y1S
10005,苗栗縣,10005130,三義鄉,11,545.67,5900000,119672,,,,,104Y1S
10005,苗栗縣,10005140,西湖鄉,,,,,,,,,104Y1S
10005,苗栗縣,10005150,造橋鄉,16,384.74,575000,59194,,,,,104Y1S
10005,苗栗縣,10005160,三灣鄉,4,952.94,7050000,78786,,,,,104Y1S
10005,苗栗縣,10005170,獅潭鄉,3,168.24,2000000,75343,,,,,104Y1S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,104Y1S
