COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積合計,不含車位面積未滿5年,不含車位面積5-未滿10年,不含車位面積10-未滿20年,不含車位面積20-未滿30年,不含車位面積30-未滿40年,不含車位面積40-未滿50年,不含車位面積50年以上,不含車位面積不詳,不含車位中位數房價合計,不含車位中位數房價未滿5年,不含車位中位數房價5-未滿10年,不含車位中位數房價10-未滿20年,不含車位中位數房價20-未滿30年,不含車位中位數房價30-未滿40年,不含車位中位數房價40-未滿50年,不含車位中位數房價50年以上,不含車位中位數房價不詳,不含車位交易單價中位數合計,不含車位交易單價中位數未滿5年,不含車位交易單價中位數5-未滿10年,不含車位交易單價中位數10-未滿20年,不含車位交易單價中位數20-未滿30年,不含車位交易單價中位數30-未滿40年,不含車位交易單價中位數40-未滿50年,不含車位交易單價中位數50年以上,不含車位交易單價中位數不詳,含車位面積合計,含車位面積未滿5年,含車位面積5-未滿10年,含車位面積10-未滿20年,含車位面積20-未滿30年,含車位面積30-未滿40年,含車位面積40-未滿50年,含車位面積50年以上,含車位面積不詳,含車位中位數房價合計,含車位中位數房價未滿5年,含車位中位數房價5-未滿10年,含車位中位數房價10-未滿20年,含車位中位數房價20-未滿30年,含車位中位數房價30-未滿40年,含車位中位數房價40-未滿50年,含車位中位數房價50年以上,含車位中位數房價不詳,含車位交易單價中位數合計,含車位交易單價中位數未滿5年,含車位交易單價中位數5-未滿10年,含車位交易單價中位數10-未滿20年,含車位交易單價中位數20-未滿30年,含車位交易單價中位數30-未滿40年,含車位交易單價中位數40-未滿50年,含車位交易單價中位數50年以上,含車位交易單價中位數不詳,資料時間
10002,宜蘭縣,10002060,壯圍鄉,2392.46,1319.91,51.91,45.11,393.49,582.04,0,0,0,7550000,9475000,7600000,4000000,4500000,4905000,0,0,0,148830.83,157364.14,146418.6,88668.55,89051.27,93463.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002010,宜蘭市,8406.2,3369.62,423.32,671.72,1849.68,1161.77,497.49,66.61,365.99,6425000,10340000,7025000,6350000,4725000,4350000,6275000,5400000,4200000,174870.84,187238.37,213963.57,174592.15,135362.22,130613.36,202474.59,286077.56,187276.52,1747.77,54.97,639.26,374.67,678.87,0,0,0,0,6100000,11250000,6711757,6050000,5800000,0,0,0,0,130350.27,204667.23,119614.8,147197.44,133922.59,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002070,員山鄉,2141.75,1379.69,51.96,93.35,507.27,53.22,56.26,0,0,8125000,8450000,9200000,22500000,4900000,4650000,1761890,0,0,148119.09,152781.76,177068.14,241016.7,86177.92,173751.82,134829.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002040,頭城鎮,3889.18,2839.95,0,199.46,234.65,442.25,154.35,18.52,0,6700000,6765000,0,3800000,3600000,3400000,10000000,650000,0,253019.86,259268.46,0,163216.83,78942.24,72786.67,215518.37,76935.22,0,464.56,464.56,0,0,0,0,0,0,0,10210000,10210000,0,0,0,0,0,0,0,242824.45,242824.45,0,0,0,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002050,礁溪鄉,5366.53,3228.47,637.89,144.69,892.84,300.1,80.14,0,82.39,8500000,9300000,8200000,3890000,3010000,2475000,7000000,0,14383895,301216.46,411046.89,265004.09,223584.98,170573.36,144503.84,180779.65,0,614554.35,287.28,121.34,41.11,59.77,65.06,0,0,0,0,5540000,5540000,13250000,18520000,3190000,0,0,0,0,171753.26,171753.26,322331.69,309833.71,97007.17,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002100,三星鄉,2713.19,1888.75,283.35,191.61,162.52,162.45,0,24.5,0,8000000,7650000,35500000,16500000,4550000,3300000,0,10000000,0,146898.01,146672.24,501149.25,184069.9,131588.43,123596.15,0,408121.62,0,44.52,44.52,0,0,0,0,0,0,0,7200000,7200000,0,0,0,0,0,0,0,161739.96,161739.96,0,0,0,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002110,大同鄉,31.47,0,0,0,0,31.47,0,0,0,1500000,0,0,0,0,1500000,0,0,0,47670.43,0,0,0,0,47670.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002090,五結鄉,4658.46,3146.77,258.69,240.11,482.36,400.63,28.01,0,101.89,9380000,11980000,12000000,3100000,5650000,3500000,10570000,0,1500000,159356.94,183864.05,155054.12,110656.88,128944.81,122598.65,377345.02,0,84518.11,757.78,359.59,0,0,398.19,0,0,0,0,4250000,6380000,0,0,3000000,0,0,0,0,160963.37,164325.03,0,0,66887.13,0,0,0,0,"107Y4S"
10002,宜蘭縣,10002080,冬山鄉,6514.5,2614.01,577.34,1016.36,952.31,1109.06,148.06,0,97.36,7825000,8500000,13925000,10000000,6120000,4410000,5200000,0,8800000,174636.33,205541.04,187749.2,159923.41,125463.01,127757.04,188736.09,0,185826.59,318.77,26.24,0,84.75,207.78,0,0,0,0,4950000,6500000,0,6955000,4100000,0,0,0,0,127392.81,247667.17,0,164103.22,116081.87,0,0,0,0,"107Y4S"
