COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,223,10864.03,7700000,186320,51,2724.67,6200000,113951,106Y3S
10002,宜蘭縣,10002020,羅東鎮,129,4671.25,4650000,166170,13,561.49,5800000,158067,106Y3S
10002,宜蘭縣,10002030,蘇澳鎮,62,2633.7,3050000,89520,,,,,106Y3S
10002,宜蘭縣,10002040,頭城鎮,25,1192.32,5300000,143817,2,96.11,4500000,97384,106Y3S
10002,宜蘭縣,10002050,礁溪鄉,112,3378.1,5500000,189524,6,185.4,6550000,255513,106Y3S
10002,宜蘭縣,10002060,壯圍鄉,53,2822.14,7800000,153211,,,,,106Y3S
10002,宜蘭縣,10002070,員山鄉,32,1825.42,7750000,126101,,,,,106Y3S
10002,宜蘭縣,10002080,冬山鄉,111,5946.11,7200000,154765,,,,,106Y3S
10002,宜蘭縣,10002090,五結鄉,122,6519.7,7900000,152286,18,861.75,3825000,81535,106Y3S
10002,宜蘭縣,10002100,三星鄉,48,2898.1,7425000,150170,1,49.11,6050000,123198,106Y3S
10002,宜蘭縣,10002110,大同鄉,,,,,,,,,106Y3S
10002,宜蘭縣,10002120,南澳鄉,,,,,,,,,106Y3S
10004,新竹縣,10004010,竹北市,787,35361.24,8100000,215088,364,21362.69,10580000,197210,106Y3S
10004,新竹縣,10004020,竹東鎮,147,6807.61,4850000,129146,106,4960.06,6480000,135543,106Y3S
10004,新竹縣,10004030,新埔鎮,35,2001.64,10600000,177553,,,,,106Y3S
10004,新竹縣,10004040,關西鎮,13,722.12,3800000,99996,1,44.44,2800000,63010,106Y3S
10004,新竹縣,10004050,湖口鄉,201,14678.47,6000000,148806,27,896.16,5030000,155413,106Y3S
10004,新竹縣,10004060,新豐鄉,126,6269.91,6900000,143903,4,93.47,3875000,155971,106Y3S
10004,新竹縣,10004070,芎林鄉,29,1513.89,11000000,167521,4,136.28,2910000,78852,106Y3S
10004,新竹縣,10004080,橫山鄉,6,295.28,6950000,132708,,,,,106Y3S
10004,新竹縣,10004090,北埔鄉,2,109.3,4900000,88665,,,,,106Y3S
10004,新竹縣,10004100,寶山鄉,33,1524.42,6560000,174683,15,598.2,3660000,98327,106Y3S
10004,新竹縣,10004110,峨眉鄉,1,39.43,1850000,46918,,,,,106Y3S
10004,新竹縣,10004120,尖石鄉,1,49.06,6800000,138599,,,,,106Y3S
10004,新竹縣,10004130,五峰鄉,,,,,,,,,106Y3S
10005,苗栗縣,10005010,苗栗市,166,8241.98,4120000,106229,24,1072.91,6300000,147524,106Y3S
10005,苗栗縣,10005020,苑裡鎮,47,2565.87,6500000,130279,2,75.42,2340000,62719,106Y3S
10005,苗栗縣,10005030,通霄鎮,24,935.33,2525000,64574,,,,,106Y3S
10005,苗栗縣,10005040,竹南鎮,202,13011.72,7100000,156817,43,1792.63,5500000,135569,106Y3S
10005,苗栗縣,10005050,頭份市,173,7373.32,5370000,140188,49,2004.23,6140000,142432,106Y3S
10005,苗栗縣,10005060,後龍鎮,23,1837.45,9114000,134923,,,,,106Y3S
10005,苗栗縣,10005070,卓蘭鎮,8,420.04,4275000,82366,,,,,106Y3S
10005,苗栗縣,10005080,大湖鄉,5,247.1,3500000,65177,,,,,106Y3S
10005,苗栗縣,10005090,公館鄉,22,1186.76,6150000,122158,,,,,106Y3S
10005,苗栗縣,10005100,銅鑼鄉,25,9521.82,6980000,135641,,,,,106Y3S
10005,苗栗縣,10005110,南庄鄉,6,191.58,1325000,78986,,,,,106Y3S
10005,苗栗縣,10005120,頭屋鄉,5,203,2000000,52348,,,,,106Y3S
10005,苗栗縣,10005130,三義鄉,12,1086.89,5250000,95992,,,,,106Y3S
10005,苗栗縣,10005140,西湖鄉,2,44.09,575000,36843,,,,,106Y3S
10005,苗栗縣,10005150,造橋鄉,12,245.93,430000,50361,,,,,106Y3S
10005,苗栗縣,10005160,三灣鄉,5,322.36,6300000,113326,,,,,106Y3S
10005,苗栗縣,10005170,獅潭鄉,3,174.28,5300000,196281,,,,,106Y3S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,106Y3S
10007,彰化縣,10007010,彰化市,301,14270.19,6200000,153046,90,4323.08,6650000,145820,106Y3S
10007,彰化縣,10007020,鹿港鎮,89,4644.47,7000000,137773,4,182.67,3800000,79351,106Y3S
10007,彰化縣,10007030,和美鎮,132,7762.47,7550000,146326,5,208.86,4500000,95372,106Y3S
10007,彰化縣,10007040,線西鄉,18,975.54,6500000,120520,,,,,106Y3S
10007,彰化縣,10007050,伸港鄉,31,1627.1,6000000,129613,,,,,106Y3S
10007,彰化縣,10007060,福興鄉,53,2764.16,6500000,123844,2,71.8,3150000,88637,106Y3S
10007,彰化縣,10007070,秀水鄉,51,3738.12,6000000,126769,,,,,106Y3S
10007,彰化縣,10007080,花壇鄉,32,1710.26,5775000,152024,,,,,106Y3S
10007,彰化縣,10007090,芬園鄉,8,574.93,3675000,97512,,,,,106Y3S
10007,彰化縣,10007100,員林市,174,8038.91,6440000,164139,61,2454.68,6590000,141616,106Y3S
10007,彰化縣,10007110,溪湖鎮,41,1942.73,6750000,137070,1,64.61,8600000,133104,106Y3S
10007,彰化縣,10007120,田中鎮,26,1309.51,4525000,111117,1,37.64,2500000,66424,106Y3S
10007,彰化縣,10007130,大村鄉,38,1832.01,6640000,133429,1,36.67,4500000,122729,106Y3S
10007,彰化縣,10007140,埔鹽鄉,37,1774.5,6200000,126218,,,,,106Y3S
10007,彰化縣,10007150,埔心鄉,30,1713.1,7055000,119379,1,35.88,2300000,64109,106Y3S
10007,彰化縣,10007160,永靖鄉,8,304.46,4290000,125967,,,,,106Y3S
10007,彰化縣,10007170,社頭鄉,29,1493.47,6800000,144953,,,,,106Y3S
10007,彰化縣,10007180,二水鄉,8,442.35,4250000,72286,1,68.99,4100000,59433,106Y3S
10007,彰化縣,10007190,北斗鎮,80,4759.36,7700000,136122,,,,,106Y3S
10007,彰化縣,10007200,二林鎮,49,3541.37,6225000,133419,3,108.95,3150000,87998,106Y3S
10007,彰化縣,10007210,田尾鄉,24,1645.28,6575000,140565,,,,,106Y3S
10007,彰化縣,10007220,埤頭鄉,32,3028.31,6200000,121492,,,,,106Y3S
10007,彰化縣,10007230,芳苑鄉,16,1465.01,3125000,61088,,,,,106Y3S
10007,彰化縣,10007240,大城鄉,1,31.51,1600000,50785,,,,,106Y3S
10007,彰化縣,10007250,竹塘鄉,2,91.9,2640000,55490,,,,,106Y3S
10007,彰化縣,10007260,溪州鄉,17,980.88,6300000,109041,,,,,106Y3S
10008,南投縣,10008010,南投市,117,6724.04,6600000,141289,10,307.47,7200000,207791,106Y3S
10008,南投縣,10008020,埔里鎮,124,4921.28,4000000,112030,5,220.94,4500000,87260,106Y3S
10008,南投縣,10008030,草屯鎮,104,4628.72,6000000,130178,11,441.94,3638000,89130,106Y3S
10008,南投縣,10008040,竹山鎮,62,2806.36,4135000,90530,,,,,106Y3S
10008,南投縣,10008050,集集鎮,4,254.32,6650000,123946,,,,,106Y3S
10008,南投縣,10008060,名間鄉,25,1710.01,3500000,87392,,,,,106Y3S
10008,南投縣,10008070,鹿谷鄉,8,245.19,3735000,100850,,,,,106Y3S
10008,南投縣,10008080,中寮鄉,9,275.67,1380000,44868,,,,,106Y3S
10008,南投縣,10008090,魚池鄉,7,254.63,3300000,90052,,,,,106Y3S
10008,南投縣,10008100,國姓鄉,7,309.19,2500000,63485,,,,,106Y3S
10008,南投縣,10008110,水里鄉,6,259.74,3660000,70269,,,,,106Y3S
10008,南投縣,10008120,信義鄉,,,,,,,,,106Y3S
10008,南投縣,10008130,仁愛鄉,3,108.84,1450000,69112,,,,,106Y3S
