COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,205,9636.86,6900000,184620,76,3919.44,6000000,116207,106Y2S
10002,宜蘭縣,10002020,羅東鎮,162,6573.51,4800000,166352,18,874.32,6150000,152668,106Y2S
10002,宜蘭縣,10002030,蘇澳鎮,80,4671.95,5200000,114282,,,,,106Y2S
10002,宜蘭縣,10002040,頭城鎮,34,1300.32,4390000,131329,1,63.46,7150000,112678,106Y2S
10002,宜蘭縣,10002050,礁溪鄉,157,5776.31,7730000,210234,12,529.27,6460000,272024,106Y2S
10002,宜蘭縣,10002060,壯圍鄉,45,2257.56,6000000,136256,,,,,106Y2S
10002,宜蘭縣,10002070,員山鄉,39,2042.43,8000000,148160,2,73.66,3475000,95288,106Y2S
10002,宜蘭縣,10002080,冬山鄉,112,7334.96,8500000,157498,,,,,106Y2S
10002,宜蘭縣,10002090,五結鄉,94,4716.86,7330000,146272,13,573.9,3400000,72561,106Y2S
10002,宜蘭縣,10002100,三星鄉,50,3412.95,10650000,160431,,,,,106Y2S
10002,宜蘭縣,10002110,大同鄉,2,227.56,20000000,175110,,,,,106Y2S
10002,宜蘭縣,10002120,南澳鄉,1,55.41,3140000,56666,,,,,106Y2S
10004,新竹縣,10004010,竹北市,481,25673.68,10200000,231470,333,18349.46,10000000,192323,106Y2S
10004,新竹縣,10004020,竹東鎮,138,6184.64,5350000,141777,182,9623.42,8535000,150268,106Y2S
10004,新竹縣,10004030,新埔鎮,28,1627.07,7450000,162907,3,123.81,3070000,105582,106Y2S
10004,新竹縣,10004040,關西鎮,10,842.05,9750000,124286,1,49.98,3500000,70034,106Y2S
10004,新竹縣,10004050,湖口鄉,296,23294.96,5900000,154145,23,768.67,4800000,161337,106Y2S
10004,新竹縣,10004060,新豐鄉,246,10080.85,4825000,160375,12,333.33,3775000,146348,106Y2S
10004,新竹縣,10004070,芎林鄉,48,2053.54,5240000,173634,1,61.75,5430000,87940,106Y2S
10004,新竹縣,10004080,橫山鄉,8,427.12,6415000,151365,,,,,106Y2S
