COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF02_T,LINF03_T,LINF04_T,LINF05_T,LINF06_T,LINF07_T,LINF08_T,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_各屋齡合計面積,不含車位_各屋齡整體中位數房價,不含車位_各屋齡整體交易單價中位數,含車位_各屋齡合計棟數,含車位_各屋齡合計面積,含車位_各屋齡整體中位數房價,含車位_各屋齡整體交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,393,19728.95,7800000,176313,45,2185.91,6046632,122878,104Y4S
10002,宜蘭縣,10002020,羅東鎮,235,9498.16,5100000,159456,64,4909.42,18700000,215403,104Y4S
10002,宜蘭縣,10002030,蘇澳鎮,84,4085.63,3600000,90720,,,,,104Y4S
10002,宜蘭縣,10002040,頭城鎮,82,2244.13,3800000,216448,66,1850.83,6125000,235056,104Y4S
10002,宜蘭縣,10002050,礁溪鄉,438,12625.91,7350000,334057,23,836.71,11270000,285280,104Y4S
10002,宜蘭縣,10002060,壯圍鄉,95,5455.19,7460000,124780,1,50.56,4700000,92959,104Y4S
10002,宜蘭縣,10002070,員山鄉,64,3493.25,8000000,157539,2,86.68,4300000,101629,104Y4S
10002,宜蘭縣,10002080,冬山鄉,183,11346.73,7800000,147033,,,,,104Y4S
10002,宜蘭縣,10002090,五結鄉,274,15322.77,8570000,150140,61,4104.66,9080000,119837,104Y4S
10002,宜蘭縣,10002100,三星鄉,45,2673.02,7950000,144719,,,,,104Y4S
10002,宜蘭縣,10002110,大同鄉,1,114.59,15300000,133516,,,,,104Y4S
10002,宜蘭縣,10002120,南澳鄉,2,35.96,900000,51287,,,,,104Y4S
10004,新竹縣,10004010,竹北市,664,33930.42,9740000,218027,801,42349.78,9050000,181020,104Y4S
10004,新竹縣,10004020,竹東鎮,209,10806.4,5000000,138215,431,21287.9,6750000,139440,104Y4S
10004,新竹縣,10004030,新埔鎮,52,3543.14,14100000,194003,2,114.09,4000000,77202,104Y4S
10004,新竹縣,10004040,關西鎮,9,450.33,3650000,92987,3,151.62,3000000,58665,104Y4S
10004,新竹縣,10004050,湖口鄉,329,35675.62,7000000,156485,48,1521.74,4810000,142417,104Y4S
10004,新竹縣,10004060,新豐鄉,207,14949.51,8000000,140639,10,308.05,4890000,151531,104Y4S
10004,新竹縣,10004070,芎林鄉,18,1206.99,4000000,78194,2,86.03,3720000,86668,104Y4S
10004,新竹縣,10004080,橫山鄉,4,136.62,2750000,76190,,,,,104Y4S
10004,新竹縣,10004090,北埔鄉,1,31.69,6500000,205113,,,,,104Y4S
10004,新竹縣,10004100,寶山鄉,19,1329.96,9500000,151807,4,156.33,3975000,94923,104Y4S
10004,新竹縣,10004110,峨眉鄉,3,213.85,8000000,128837,,,,,104Y4S
10004,新竹縣,10004120,尖石鄉,1,44.82,5000000,111546,,,,,104Y4S
10004,新竹縣,10004130,五峰鄉,1,26.32,1800000,68396,,,,,104Y4S
10005,苗栗縣,10005010,苗栗市,262,11697.91,4110000,107199,32,2499.35,5765000,132040,104Y4S
10005,苗栗縣,10005020,苑裡鎮,36,3185.27,5519375,90922,,,,,104Y4S
10005,苗栗縣,10005030,通霄鎮,30,1258.05,2400000,66151,2,25.18,1050000,83409,104Y4S
10005,苗栗縣,10005040,竹南鎮,343,22129.4,10300000,153298,86,3660.68,5500000,136785,104Y4S
10005,苗栗縣,10005050,頭份市,257,15302.57,5000000,134266,81,3167.77,6000000,145521,104Y4S
10005,苗栗縣,10005060,後龍鎮,24,1345.25,5250000,95739,,,,,104Y4S
10005,苗栗縣,10005070,卓蘭鎮,21,1162.77,3350000,49383,1,33.05,2000000,60507,104Y4S
10005,苗栗縣,10005080,大湖鄉,13,473.81,4950000,115060,,,,,104Y4S
10005,苗栗縣,10005090,公館鄉,37,1915.3,6950000,131017,,,,,104Y4S
10005,苗栗縣,10005100,銅鑼鄉,17,1393.35,4000000,76691,,,,,104Y4S
10005,苗栗縣,10005110,南庄鄉,1,157.28,28000000,178024,,,,,104Y4S
10005,苗栗縣,10005120,頭屋鄉,7,285.31,2500000,62950,,,,,104Y4S
10005,苗栗縣,10005130,三義鄉,21,1127.84,4660000,95228,,,,,104Y4S
10005,苗栗縣,10005140,西湖鄉,1,12.22,1600000,130922,,,,,104Y4S
10005,苗栗縣,10005150,造橋鄉,24,980.31,500000,53809,,,,,104Y4S
10005,苗栗縣,10005160,三灣鄉,1,38.12,5050000,132494,,,,,104Y4S
10005,苗栗縣,10005170,獅潭鄉,,,,,,,,,104Y4S
10005,苗栗縣,10005180,泰安鄉,,,,,,,,,104Y4S
10007,彰化縣,10007010,彰化市,356,19108.51,6430000,151575,106,6001.22,7890000,147703,104Y4S
