COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣,10002010,宜蘭市,273,56,17,41,88,57,4,,10,11729.47,3626.05,754.17,1727.94,3423.01,1940.96,87.27,,170.07,5000000,15465000,5400000,4650000,4200000,4410000,5180000,,4316500,144811,231842,179190,130589,129020,133217,233811,,304549,24,,2,14,8,,,,,1075.02,,82.85,619.59,372.58,,,,,6280000,,6980000,6350000,5975000,,,,,130920,,168712,130920,120848,,,,,"104Y2S"
10002,宜蘭縣,10002020,羅東鎮,181,15,10,43,48,45,14,2,4,7922.07,1213.68,993.36,1222.83,1566.25,1639.62,990.84,65.15,230.34,4800000,18700000,10850000,3900000,3960000,4350000,6000000,11925058,7495700,152325,248401,167467,149238,137804,135276,215313,395708,409759,26,,2,12,12,,,,,1133.61,,45.6,509.44,578.57,,,,,5050000,,2900000,5000000,5650000,,,,,139147,,145028,139355,135717,,,,,"104Y2S"
10002,宜蘭縣,10002030,蘇澳鎮,67,19,3,13,4,25,,3,,3244.9,1223.03,185.54,505.01,217.06,1044.21,,70.04,,4450000,6600000,6000000,2900000,5800000,2650000,,3637500,,90028,114465,91721,74366,109708,75043,,210961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y2S"
10002,宜蘭縣,10002040,頭城鎮,30,10,1,5,3,8,1,,2,1374.75,594.22,20.39,260.52,116.5,285.08,20.21,,77.83,4800000,11450000,5000000,7200000,4580000,3500000,14000000,,1870000,132500,204115,245236,124370,124328,93446,692622,,52096,2,1,,,1,,,,,87.91,26.37,,,61.53,,,,,5850000,5400000,,,6300000,,,,,153561,204740,,,102382,,,,,"104Y2S"
10002,宜蘭縣,10002050,礁溪鄉,332,211,34,32,30,23,,,2,9663.66,6647.74,1055.89,812.12,592.11,521.76,,,34.05,8000000,9100000,7827550,3875000,2900000,2500000,,,9473750,284656,311084,359125,197433,189041,154142,,,556471,19,13,,5,1,,,,,709.71,541.88,,122.55,45.27,,,,,13960000,16300000,,3280000,10700000,,,,,362251,412732,,166406,236364,,,,,"104Y2S"
10002,宜蘭縣,10002060,壯圍鄉,56,21,6,8,15,5,,1,,3063.86,1369.01,336.81,408.32,718.74,180.67,,50.31,,7550000,8900000,10590000,3590000,4250000,3350000,,5100000,,127943,145412,189852,118216,88485,96248,,101374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104Y2S"
10002,宜蘭縣,10002070,員山鄉,71,38,10,3,8,11,,,1,3942.85,2440.74,428.09,225.86,436.85,343.81,,,67.5,7380000,7575000,8025000,8050000,5465000,4800000,,,2300000,141221,140119,241211,164757,106644,141677,,,34074,3,,,1,2,,,,,120.93,,,51.65,69.28,,,,,3500000,,,3360000,3625000,,,,,101271,,,65051,104638,,,,,"104Y2S"
10002,宜蘭縣,10002080,冬山鄉,112,32,10,23,11,27,7,1,1,5925.86,2285.2,818.73,1098.49,454.18,1024.45,219.39,8.02,17.41,7000000,9650000,7465000,4100000,4500000,4626667,6000000,19311600,5250000,140050,143689,136276,120746,113272,133683,173193,2407240,301623,3,,,2,1,,,,,169.17,,,119.26,49.91,,,,,5100000,,,5125000,3200000,,,,,77877,,,86933,64120,,,,,"104Y2S"
10002,宜蘭縣,10002090,五結鄉,152,66,8,27,24,24,2,,1,7150.24,3337.6,582.35,1147.19,1148.24,826.45,80.1,,28.3,5950000,6725000,10150000,3200000,5300000,4400000,12350000,,12800000,127703,128872,165163,93003,128984,129886,275771,,452363,9,2,,5,2,,,,,368.75,72.51,,215.19,81.04,,,,,3200000,6735000,,3000000,3625000,,,,,86317,187307,,68161,88906,,,,,"104Y2S"
