COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF07_T,LINF07_C1,LINF07_C2,LINF07_C3,LINF07_C4,LINF07_C5,LINF07_C6,LINF07_C7,LINF07_C8,LINF08_T,LINF08_C1,LINF08_C2,LINF08_C3,LINF08_C4,LINF08_C5,LINF08_C6,LINF08_C7,LINF08_C8,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各屋齡合計棟數,不含車位_屋齡未滿5年棟數,不含車位_屋齡5至未滿10年棟數,不含車位_屋齡10至未滿20年棟數,不含車位_屋齡20至未滿30年棟數,不含車位_屋齡30至未滿40年棟數,不含車位_屋齡40至未滿50年棟數,不含車位_屋齡50年以上棟數,不含車位_屋齡不詳棟數,不含車位_各屋齡合計面積,不含車位_屋齡未滿5年面積,不含車位_屋齡5至未滿10年面積,不含車位_屋齡10至未滿20年面積,不含車位_屋齡20至未滿30年面積,不含車位_屋齡30至未滿40年面積,不含車位_屋齡40至未滿50年面積,不含車位_屋齡50年以上面積,不含車位_屋齡不詳面積,不含車位_各屋齡整體中位數房價,不含車位_屋齡未滿5年中位數房價,不含車位_屋齡5至未滿10年中位數房價,不含車位_屋齡10至未滿20年中位數房價,不含車位_屋齡20至未滿30年中位數房價,不含車位_屋齡30至未滿40年中位數房價,不含車位_屋齡40至未滿50年中位數房價,不含車位_屋齡50年以上中位數房價,不含車位_屋齡不詳中位數房價,不含車位_各屋齡整體交易單價中位數,不含車位_屋齡未滿5年交易單價中位數,不含車位_屋齡5至未滿10年交易單價中位數,不含車位_屋齡10至未滿20年交易單價中位數,不含車位_屋齡20至未滿30年交易單價中位數,不含車位_屋齡30至未滿40年交易單價中位數,不含車位_屋齡40至未滿50年交易單價中位數,不含車位_屋齡50年以上交易單價中位數,不含車位_屋齡不詳交易單價中位數,含車位_各屋齡合計棟數,含車位_屋齡未滿5年棟數,含車位_屋齡5至未滿10年棟數,含車位_屋齡10至未滿20年棟數,含車位_屋齡20至未滿30年棟數,含車位_屋齡30至未滿40年棟數,含車位_屋齡40至未滿50年棟數,含車位_屋齡50年以上棟數,含車位_屋齡不詳棟數,含車位_各屋齡合計面積,含車位_屋齡未滿5年面積,含車位_屋齡5至未滿10年面積,含車位_屋齡10至未滿20年面積,含車位_屋齡20至未滿30年面積,含車位_屋齡30至未滿40年面積,含車位_屋齡40至未滿50年面積,含車位_屋齡50年以上面積,含車位_屋齡不詳面積,含車位_各屋齡整體中位數房價,含車位_屋齡未滿5年中位數房價,含車位_屋齡5至未滿10年中位數房價,含車位_屋齡10至未滿20年中位數房價,含車位_屋齡20至未滿30年中位數房價,含車位_屋齡30至未滿40年中位數房價,含車位_屋齡40至未滿50年中位數房價,含車位_屋齡50年以上中位數房價,含車位_屋齡不詳中位數房價,含車位_各屋齡整體交易單價中位數,含車位_屋齡未滿5年交易單價中位數,含車位_屋齡5至未滿10年交易單價中位數,含車位_屋齡10至未滿20年交易單價中位數,含車位_屋齡20至未滿30年交易單價中位數,含車位_屋齡30至未滿40年交易單價中位數,含車位_屋齡40至未滿50年交易單價中位數,含車位_屋齡50年以上交易單價中位數,含車位_屋齡不詳交易單價中位數,資料時間
10002,宜蘭縣          ,10002010,宜蘭市          ,244,87,11,20,52,42,18,,14,10617.07,4888.24,606.95,827.02,1978.35,1394.49,465.93,,456.08,6850000,11600000,13000000,5690000,4050000,5475000,5250000,,4800000,184421,223317,215532,160901,131025,154112,196447,,178456,41,1,22,6,12,,,,,2227.21,126.73,1225.8,282.23,592.46,,,,,6380000,28255000,6214795,6425000,5150000,,,,,117986,222955,109407,143756,121103,,,,,"106Y4S"
10002,宜蘭縣          ,10002020,羅東鎮          ,143,9,4,8,66,32,17,1,6,5296.25,857.52,240.91,269.7,2262.58,877.88,539.41,61.72,186.53,5000000,22000000,14750000,4240000,4510000,3825000,6600000,23000000,4650000,162709,221594,207468,189185,152609,157773,222304,372656,198311,21,,,,21,,,,,877.74,,,,877.74,,,,,5400000,,,,5400000,,,,,145626,,,,145626,,,,,"106Y4S"
10002,宜蘭縣          ,10002030,蘇澳鎮          ,69,17,5,7,9,21,6,4,,5375.49,910.45,370.95,2496.74,581.34,786.24,176.87,52.9,,3580000,7380000,11000000,3750000,2500000,2850000,2600000,1307500,,107909,136161,142441,111742,80860,88134,92576,84564,,1,,,,1,,,,,41.15,,,,41.15,,,,,2800000,,,,2800000,,,,,68050,,,,68050,,,,,"106Y4S"
10002,宜蘭縣          ,10002040,頭城鎮          ,65,42,3,2,5,10,1,2,,1921.34,1035.11,223.23,121.41,218.45,306.85,8.11,8.18,,6200000,6260000,22500000,9340000,6000000,3350000,950000,325000,,260950,265419,263078,151408,138217,92112,117139,75511,,1,,,1,,,,,,67.04,,,67.04,,,,,,6660000,,,6660000,,,,,,99344,,,99344,,,,,,"106Y4S"
10002,宜蘭縣          ,10002050,礁溪鄉          ,121,48,14,13,24,18,1,3,,3813.52,1698.72,518.95,297.71,775.44,458.46,32.89,31.35,,6480000,9440000,5900000,3580000,3575000,3900000,22500000,4600000,,205488,349238,278350,190792,180542,162923,684144,1028864,,8,1,1,1,5,,,,,228,26.51,59.77,29.92,111.8,,,,,4495000,6500000,18600000,3500000,3990000,,,,,219023,245236,311172,116978,192809,,,,,"106Y4S"
10002,宜蘭縣          ,10002060,壯圍鄉          ,42,20,2,2,9,9,,,,2341.27,1346.32,113.03,115.63,441.82,324.48,,,,7500000,11265000,7950000,5340000,3650000,3200000,,,,138721,164953,141400,92486,78274,90087,,,,1,,,,1,,,,,46,,,,46,,,,,2400000,,,,2400000,,,,,52179,,,,52179,,,,,"106Y4S"
10002,宜蘭縣          ,10002070,員山鄉          ,31,14,5,,8,4,,,,1652.2,946,228.72,,320.43,157.05,,,,9000000,12250000,10680000,,4225000,3550000,,,,165225,219405,275493,,115557,118214,,,,7,1,,3,3,,,,,343.54,60.45,,168.29,114.8,,,,,5450000,11400000,,5950000,4600000,,,,,119663,188581,,108491,121526,,,,,"106Y4S"
10002,宜蘭縣          ,10002080,冬山鄉          ,108,40,4,13,17,24,9,,1,8302.38,2343.39,275.76,791.94,3705.18,910.05,246.3,,29.75,8130000,8935000,12940000,8680000,8500000,3675000,4900000,,3900000,147197,163136,265074,154059,87710,105963,170842,,131089,2,,,1,1,,,,,103.34,,,53.43,49.91,,,,,5700000,,,7200000,4200000,,,,,109456,,,134754,84157,,,,,"106Y4S"
10002,宜蘭縣          ,10002090,五結鄉          ,119,54,7,7,30,15,4,,2,6331.72,3592.66,591.8,246.29,1173.94,580.71,104.35,,41.98,7900000,10440000,10200000,5580000,4175000,4850000,4205000,,1350000,153439,184477,156170,145446,115683,156625,149675,,64315,13,2,1,4,6,,,,,553.22,94.65,41.35,220.63,196.59,,,,,4500000,8500000,7100000,3900000,4400000,,,,,135586,179611,171710,100355,132613,,,,,"106Y4S"
